t,start,end,days,excess,sig_day,left
KWEB,2025-01-10,2025-03-17,44,43.607986079138094,13.0,59.258032708302075
KWEB,2025-07-03,2025-09-17,52,20.141492479962796,36.0,38.68191253959617
ARKK,2016-02-08,2016-10-05,167,28.121738470009717,17.0,44.790922943926354
ARKK,2016-12-30,2018-06-20,369,92.5159823608205,5.0,87.1926595838774
ARKK,2019-10-23,2020-02-19,80,27.976454956005004,12.0,71.78179049602336
ARKK,2020-03-18,2020-10-13,145,104.20904697975111,18.0,64.52900314387486
ARKK,2020-11-10,2021-02-12,64,50.7353640608156,12.0,61.61315928929119
ARKK,2023-05-02,2023-07-19,53,30.501126004416655,14.0,47.23310358682774
ARKK,2023-10-30,2023-12-27,40,37.45106498652484,11.0,56.906147281148925
ARKK,2024-08-07,2025-02-14,131,43.52068518839871,26.0,78.4445245878598
ARKK,2025-04-08,2025-10-08,126,67.51421416599719,14.0,69.66270445096329
