ticker,date,surp,dd,rx,breadth,ex20,ex60,beaten
A,2010-08-17,12.5,0.7256210636755159,7.805598135340763,53.60501567398119,-3.155065840337901,6.719791888816406,False
A,2010-11-12,8.52,0.9545816101162141,1.763231013937272,78.45659163987138,3.7961890966727228,10.895474091462322,False
A,2011-02-15,5.33,0.9920268972037503,-4.777877626370586,78.15384615384616,5.059875594297045,16.89575214900241,False
A,2011-05-13,14.03,0.9915286690264813,4.470472998800923,61.58357771260997,-2.691476718099576,-17.251044762696086,False
A,2011-08-16,5.45,0.6777517446921493,-2.319948033009478,13.672922252010723,0.6923091258750071,-0.7049067738938566,True
A,2011-11-16,4.3,0.6913069520225789,0.8627473329923863,74.57627118644068,-4.677271788880795,-1.7139185418522835,True
A,2012-02-16,0.35,0.788722273187539,0.43542209791189723,85.5421686746988,1.401474077040758,-4.729920666011957,False
A,2012-05-15,6.76,0.7046394651410278,4.138845381662182,27.714285714285715,-0.34848458446099073,-1.8290220120265115,False
A,2012-08-16,-4.78,0.8789777206658348,-8.226280705202448,81.08108108108108,0.8156884101487583,-3.471496312302031,False
A,2012-11-20,7.55,0.8166042141685721,-3.279102779152787,38.41642228739003,8.495243443625963,8.35759847137366,False
A,2013-02-15,-5.56,0.9729000587500337,-5.226583477180846,83.89830508474576,-1.1063744163132936,-4.407612358858666,False
A,2013-05-15,15.5,0.9657404677483986,3.8890154735577553,90.26315789473684,-0.7909144313528476,-1.2089421057964205,False
A,2013-08-15,9.74,0.9825129972414176,0.9675478691315575,59.45945945945946,1.1584495325120012,0.5730846471319451,False
A,2013-11-15,6.64,0.9473850800667754,8.68623064675116,81.65829145728644,1.657602475904164,8.336794230005408,False
A,2014-02-14,1.43,0.9813788886767294,-8.039338326550071,66.42857142857143,-0.840680045364959,-2.0065597093330547,False
A,2014-05-15,-0.78,0.9144921935313175,-2.435116482314026,47.48858447488585,4.628277667104169,-1.187638687816638,False
A,2014-08-15,5.79,0.9128099440622597,3.5238680901980235,48.463356973995275,-1.227877206740317,-3.8967685356322583,False
A,2014-11-18,-0.83,0.9483837736379556,-1.06693406439623,82.03463203463204,-2.7647700463197666,-4.793669874581887,False
A,2015-02-18,0.19,0.9448529493520161,2.5172149233325003,73.49137931034483,0.7307650165348075,0.8556497483898292,False
A,2015-05-19,-1.62,0.9779766848933805,-0.6099203279858578,66.66666666666667,-5.533094710172815,-7.910083384083971,False
A,2015-08-18,8.21,0.8928005291080137,0.5152071834724437,53.84615384615385,-1.4617922064271918,-0.8022148818307056,False
A,2015-11-17,5.89,0.861024819242172,2.812785721959621,56.12244897959184,6.2012101046073695,0.6472532320806748,False
A,2016-02-17,6.44,0.8575974681843769,2.1304849735939824,44.509803921568626,-2.4054313714552107,4.921685903504189,False
A,2016-05-17,13.1,0.9939815107428088,3.4233763626233538,47.58909853249476,-0.23489635874354708,1.4360577922410682,False
A,2016-08-18,4.77,0.996092355998836,-3.5308711500786183,72.69076305220884,-1.7271699805240757,0.2459562697788581,False
A,2016-11-16,13.28,0.9358990236082487,1.718088192631284,60.62992125984252,-2.9527705040299863,1.4206038843985027,False
