ticker,date,index,kind,ext,adr,r1,r3,r5,r10,overnight
RDDT,2026-08-17,SP500,replacement,-0.14915064698248892,5.863193387244765,-3.7993920972644424,-8.62614130176672,-7.173254134807183,-10.145898140672493,0.9726480872435328
FERG,2026-08-04,SP500,replacement,3.398628531325144,2.630086973956535,-0.10175113249459855,0.4618272609236529,-1.5654928731948292,-4.320763686756123,-0.767085973667947
MRVL,2026-06-18,SP500,rebalance,1.9098218519011514,10.212308493268692,-0.8757810522798226,-10.908612890464708,-14.105866829818448,-19.740480560613094,0.9047680963364391
FLEX,2026-06-18,SP500,rebalance,0.3770080852666991,6.020165268975585,5.5551770979852755,2.1069037311103767,-0.6164918761239813,-6.0700539779273255,2.330467059943242
ALAB,2026-06-18,NDX,rebalance,2.3997839448723486,9.365151533176071,5.416355993282873,-4.112018029422204,-6.073325016189157,3.7571589025759966,2.0476126015709806
CRWV,2026-06-18,NDX,rebalance,1.19442921187747,7.375610341633289,-5.6464571471225415,-14.472234113168081,-18.11784287418413,-26.697752164917567,0.9622739852452211
NBIS,2026-06-18,NDX,rebalance,2.052854003540785,9.953886507011859,-1.0743371110310096,-9.42830184140142,-16.18124071108117,-25.69674475621172,1.1406009926489213
RKLB,2026-06-18,NDX,rebalance,-0.5982574222224073,8.54559743306998,-6.480788033090967,-20.35620536788103,-21.167472398758093,-13.194705154558207,-0.23312197405820356
TER,2026-06-18,NDX,rebalance,1.7987191754279377,6.924052762362254,4.35695745187985,-2.447935071976215,-0.24206209971338044,-13.335772870152251,4.160577901021556
LITE,2026-05-15,NDX,rebalance,0.5106639957653631,8.074759530751049,-8.830743861163038,-10.572782898134292,-2.451837590776984,-6.768312700197921,-1.7930389490056875
VEEV,2026-05-06,SP500,replacement,0.17403934041450914,4.252164569046059,0.5377913735645112,-4.792353737650956,-6.9435374676884765,-1.4281441903086,1.1054620718580876
SNDK,2026-04-17,NDX,rebalance,1.9308686106181028,8.297526457116517,-0.8653699592431785,6.306259319394281,7.482169720666687,28.88305112826801,1.0836144338778553
CASY,2026-04-08,SP500,replacement,2.2194001563860772,2.9566307478615172,0.05142168879788134,-3.081609927642104,-2.8403068021061295,3.2358830538615546,-0.6303012981946798
VRT,2026-03-20,SP500,rebalance,0.10404411362125848,4.959519175906405,0.04689246442273198,7.925596096590115,-1.87979122711196,1.113803417362913,1.2173610363787057
LITE,2026-03-20,SP500,rebalance,0.823390225876639,9.471032622623463,3.1995522619430172,10.026192365260789,-0.5124931326265902,9.333907551457997,5.152547715607869
COHR,2026-03-20,SP500,rebalance,0.11782294483021113,8.308025603619255,0.5598699450411582,7.258606358745112,-4.001896053254095,-0.16165424209128032,0.2207931032657262
CIEN,2026-02-06,SP500,replacement,1.1314414548422467,7.645303631959951,6.766911711609569,9.556977729547134,12.015334373981368,27.097149870638848,-0.2285106517952551
WMT,2026-01-16,NDX,other,2.1911705581560974,1.7004271659957892,-0.8270602034453067,-1.562234806611762,-1.7209579604616776,3.642447824694206,0.9941599186088279
FER,2025-12-19,NDX,rebalance,0.5007799592286729,1.5210852529518615,-2.259371692753298,-2.108758517610798,-2.063571083755733,1.461060361313793,0.12050768999363193
WDC,2025-12-19,NDX,rebalance,1.165455575000882,6.567114735366723,-2.3856812728469845,-0.8394065299921483,-0.7731458069109354,21.150869888149714,2.9765936743474386
STX,2025-12-19,NDX,rebalance,1.000693023811122,5.8028356690153675,-4.55864121951265,-3.489541146835873,-4.832633302690825,11.7852923806955,1.6500219628754254
MPWR,2025-12-19,NDX,rebalance,-0.21265010125617242,3.745393950828333,0.8590267370975235,1.7223222228238244,-0.7544489428529144,7.466624049016768,4.155333078732748
INSM,2025-12-19,NDX,rebalance,-2.5665182968829887,3.657032582812926,0.5261943423788162,1.4756359443457434,0.8579272657391002,0.13155513106029026,1.5671502805735704
CRH,2025-12-19,SP500,rebalance,0.7323215256602542,2.292671347302613,1.4467163603179678,2.507637557417719,2.354932914314811,3.57659486193862,1.1734452012546193
ALNY,2025-12-19,NDX,rebalance,-1.2213802076757656,3.9334593433350844,1.8739224431263857,0.11493177484229733,-0.35229833430895363,1.541609259873078,2.3411525522776477
FIX,2025-12-19,SP500,rebalance,-0.2749949529422866,5.342232227986175,1.068307375000943,1.8421713985429022,1.0555532309761917,10.031462387684908,1.5264570906103003
CVNA,2025-12-19,SP500,rebalance,1.4491514790590014,5.044298171431034,-3.693745775698476,-1.9212782108356197,-3.702633913694575,-2.1722727883936033,0.5885997810416876
ARES,2025-12-10,SP500,replacement,3.595177631845951,3.2069757520915494,-0.7908959970337803,-3.1411145415912056,-4.866404389430001,-4.555896424853467,-0.1570588565480313
SNDK,2025-11-26,SP500,replacement,-0.14621064845116738,12.333686252451841,3.83184791221598,-4.5061325730808015,-0.8044995263914112,12.355844565556984,4.747957139433923
EME,2025-09-19,SP500,rebalance,0.5198350020223259,2.5091358906637873,3.767269559071673,-0.8623143768541008,1.3527970449311866,3.5425952299256602,-1.0933402501508427
HOOD,2025-09-19,SP500,rebalance,2.1216954608455483,4.6014755826030616,0.08815564307396162,1.6188526143791737,-2.404231470867546,19.14569612386645,-0.9256281379997122
APP,2025-09-19,SP500,rebalance,4.3727680227545624,4.360614443808393,-0.937518527639547,-1.1807514937446917,3.1204232913205843,5.10629497665247,-0.3910218687925071
IBKR,2025-08-27,SP500,replacement,-0.6738798235539524,3.043414661199637,1.6021830665345682,3.546731989648322,4.162490192644741,2.639281205516175,1.116668921961228
TRI,2025-07-25,NDX,other,0.008937865747815904,1.8636064740146852,-1.312370294728027,-1.8087993311403983,-1.1649121651192251,-11.545828019632854,-0.06882221123344356
XYZ,2025-07-22,SP500,replacement,4.35931764590293,3.1788517935322136,0.5424502628806227,1.8544232155353724,-1.37504274511151,-5.020809759157707,0.6812172806804018
TTD,2025-07-17,SP500,replacement,2.473207829359684,3.402944042982645,-1.5103184185419782,0.2824112483352792,4.371313177642722,6.7779917455649485,-0.45432555929530993
DDOG,2025-07-08,SP500,replacement,3.092948673506384,3.089189300806535,-2.1858314293827785,-5.8722811983366485,-3.68644976895387,-0.7194758354066688,-0.37002092359063044
COIN,2025-05-16,SP500,replacement,4.67642357562987,4.887337818289812,-0.9269688883554394,-2.8034232005754833,-1.2384552648779468,-7.408237959694941,-2.506940212413622
SHOP,2025-05-16,NDX,rebalance,2.527552827256763,4.396397229464819,-1.489843364224741,-7.6117384245379505,-8.34311319527723,-3.801353575144606,-1.7516952066873537
DASH,2025-03-21,SP500,rebalance,0.1370002141430844,4.978781540533546,4.38568923748639,1.1803588593194414,-4.202074657441701,-14.405619640372214,1.148883903842246
TKO,2025-03-21,SP500,rebalance,0.09433338903252794,4.244793006237877,2.0216199826418313,3.155863178675822,-0.12009829705359465,-6.872157329393458,0.5070721591015737
WSM,2025-03-21,SP500,rebalance,-1.6493195086878207,5.307123405010158,4.063561656796688,1.0449142195376737,-2.8536514436505622,-13.42499311125751,1.7904167979774899
EXE,2025-03-21,SP500,rebalance,1.257876864075592,2.9842492651832653,1.6301904268431366,2.4126770848893475,3.344214471656848,-6.837442587359255,0.633450974390759
