entry,month,year,n,ex,n_deep,ex_deep,ex_10d
2018-05-31,6,2018,58,3.3677337302626382,,,
2018-06-29,7,2018,62,1.320177469888405,,,
2018-07-31,8,2018,61,-3.717120638588855,,,
2018-08-31,9,2018,60,-1.802583270133953,,,
2018-09-28,10,2018,60,2.0346606262273648,,,
2018-10-31,11,2018,62,4.380695964608154,,,
2018-11-30,12,2018,63,-1.0308145558127964,,,
2018-12-31,1,2019,63,2.8019827792890553,42.0,2.3449530205005593,2.29912462172258
2019-01-31,2,2019,59,-2.8321628716993805,,,
2019-02-28,3,2019,60,-1.1775566442758305,,,
2019-03-29,4,2019,61,1.215643696800379,,,
2019-04-30,5,2019,61,-7.981752080613397,,,
2019-05-31,6,2019,61,4.596185731298708,,,
2019-06-28,7,2019,63,-2.956610485272005,,,
2019-07-31,8,2019,61,-8.227521525219737,,,
2019-08-30,9,2019,62,11.597848604437013,,,
2019-09-30,10,2019,61,-1.137352834863845,,,
2019-10-31,11,2019,60,0.8823486503681764,,,
2019-11-29,12,2019,61,4.570455834214837,,,
2019-12-31,1,2020,61,-7.674296809369573,2.0,-49.542159911149646,-2.6791872094741853
2020-01-31,2,2020,62,-3.6907385958061045,,,
2020-02-28,3,2020,66,-17.125127588636342,,,
2020-03-31,4,2020,71,15.627084266939335,,,
2020-04-30,5,2020,73,-6.250055388502606,,,
2020-05-29,6,2020,69,2.362862708850071,,,
2020-06-30,7,2020,70,-9.326581539395493,,,
2020-07-31,8,2020,69,1.623599468420539,,,
2020-08-31,9,2020,63,-6.737834505998741,,,
2020-09-30,10,2020,63,-1.3717589491800692,,,
2020-10-30,11,2020,64,16.21329952589764,,,
2020-11-30,12,2020,66,-0.06461282236834139,,,
2020-12-31,1,2021,70,-1.2885115269952578,17.0,-3.5450757394756303,1.332485748836289
2021-01-29,2,2021,73,8.658089301189515,,,
2021-02-26,3,2021,76,3.3471275039948845,,,
2021-03-31,4,2021,81,-3.2536083030893175,,,
2021-04-30,5,2021,80,0.10730397253890418,,,
2021-05-28,6,2021,77,2.3055115029135376,,,
2021-06-30,7,2021,79,-0.4542363138886921,,,
2021-07-30,8,2021,77,-2.558373022826506,,,
2021-08-31,9,2021,74,-2.0062842563525534,,,
2021-09-30,10,2021,74,-1.6945911637020583,,,
