ticker,entry,expiry,S,ks,kl,credit,width,maxloss,cost,ba_s,ba_l,iv30,rv21,log_ivrv,put_skew,ff,trend_z,vix,ST,roc_hold,ivp,skew_z,roc_mgd
ASHR,2018-07-13,2018-08-10,26.14,25.0,24.0,0.165,1.0,0.835,0.0405,0.07,0.04000000000000001,0.2642216562766023,0.34064398646447036,-0.25404954596149026,0.07440877462163753,-0.15111977530253856,-0.6009029409492295,12.18,24.952271859488352,0.09194234669263729,0.8846153846153846,0.34746026079925896,0.004790419161676651
ASHR,2018-07-27,2018-08-24,26.075,25.0,24.0,0.16499999999999998,1.0,0.835,0.0405,0.07,0.039999999999999994,0.24359182312546349,0.3446497310708023,-0.34703466057090854,0.06549711475796505,-0.009907326354975515,-0.40641928079584033,13.03,24.888866590214064,0.016007892471933443,0.6785714285714286,0.16630801033010936,-0.3544910179640719
ASHR,2018-08-03,2018-08-31,24.595,23.5,22.5,0.14999999999999997,1.0,0.8500000000000001,0.038,0.04999999999999999,0.05,0.2665993928631166,0.34860495392991236,-0.26819221350475747,0.023599753385833866,-0.00010011945759321287,-0.6654340506260549,11.64,24.67478913219789,0.1317647058823529,0.896551724137931,-0.70144812760149,0.028235294117647015
ASHR,2018-08-10,2018-09-07,24.97,24.0,23.0,0.19499999999999998,1.0,0.805,0.0605,0.10999999999999999,0.08000000000000002,0.2660008820236927,0.34425103555978964,-0.25787152111155554,0.13582009592947974,-0.12692161635855348,-0.4703691303613764,13.16,24.02114,0.16708074534161488,0.8666666666666667,1.65351514455131,-0.43602484472049696
ASHR,2018-08-17,2018-09-14,24.38,23.5,22.5,0.20500000000000002,1.0,0.7949999999999999,0.05549999999999999,0.08999999999999997,0.07999999999999999,0.2883643758536518,0.3807754715042558,-0.2779850133872236,0.02659892835397093,-0.024162948846996567,-0.43349526070057276,12.64,23.66235486508585,0.18805031446540885,0.9032258064516129,-0.6573494594280059,-0.00754716981132071
ASHR,2018-08-24,2018-09-21,24.869999999999997,24.0,22.5,0.24000000000000002,1.5,1.26,0.038000000000000006,0.030000000000000027,0.06999999999999999,0.27924551144444587,0.36249445499828337,-0.26091781341101056,0.09614746345044978,-0.15349607825443565,-0.20932683843825856,11.99,25.198678414096914,0.16031746031746033,0.875,0.7812213751836251,-0.3142857142857144
ASHR,2018-08-31,2018-09-28,24.63,23.5,22.5,0.165,1.0,0.835,0.05049999999999999,0.07999999999999996,0.06999999999999999,0.27423272586535474,0.3480153288928454,-0.23826941699274096,0.051900042663412194,-0.05677680823951093,-0.2006963838363646,12.86,25.2372877930477,0.13712574850299403,0.8484848484848485,-0.14942446688028765,-0.31856287425149704
ASHR,2018-09-07,2018-10-05,24.0,23.0,22.0,0.175,1.0,0.825,0.0405,0.06,0.05,0.26675455330615133,0.3040232241090716,-0.13077513398388713,0.04520622306389166,-0.08883758592777787,-0.382674994846832,14.88,24.48898128898129,0.16303030303030303,0.8235294117647058,-0.2872660823671705,0.010909090909090868
ASHR,2018-09-14,2018-10-12,23.735,23.0,22.0,0.21,1.0,0.79,0.038000000000000006,0.050000000000000044,0.04999999999999999,0.26785864486002364,0.2580076599012268,0.03747012279036707,0.057880764512276084,-0.06878261258080645,-0.5008565213212546,12.07,23.425065290648696,0.21772151898734174,0.8285714285714286,-0.01409346372875358,0.07468354430379742
ASHR,2018-09-21,2018-10-19,25.285,24.0,23.0,0.11499999999999999,1.0,0.885,0.0355,0.04999999999999999,0.039999999999999994,0.24724292915804857,0.2584662557295818,-0.04439377451516161,0.03041778301661413,-0.10149234886227669,0.10020538165377402,11.68,22.846446640316202,-1.0401129943502825,0.5555555555555556,-0.6048746941629755,-0.2666666666666667
