date,sym,kind,grade_shown,in_state,brk,px,alert_risk,R_alert,pct_alert,R_close,pct_close,close_risk,intraday_R
2026-02-02,AAOI,ORB9,False,False,False,47.4,3.04347826086957,-2.314285823277066,-6.835443359890059,-1.9813931619382197,-9.646735362891656,5.1178329249703225,-1.0
2026-02-02,AAPL,LVL,True,False,True,263.52,1.6705891430996544,-0.5210637539693973,-0.8561801968304028,-0.7439882149041488,-2.975847580899149,4.166513123171245,1.49
2026-02-02,ALAB,UR,False,False,False,151.59,3.291087489779243,0.17598394232013342,0.5607246133691124,1.070421362274846,3.9884556111783542,3.8702699285708464,0.21
2026-02-02,AMD,ORB9,True,True,False,245.92,0.5807770961145042,-2.6830981617242666,-1.549284071912993,-4.088729757064464,-18.711171085242707,4.79574649891954,0.25
2026-02-02,ASTS,UR,True,False,False,107.09,2.753790059489547,-1.250871080139372,-3.352320478102533,-2.142839348550431,-1.0043070503192641,0.47088747324652847,-1.0
2026-02-02,AVGO,UR,False,False,False,331.22,1.6792018419033106,-0.24227698847406684,-0.4001132561298082,-2.0112019182718255,-3.2557196393595556,1.6454291179009983,-0.02
2026-02-02,AXTI,ORB9,True,False,False,21.06,2.83203125,-2.2758624635893767,-6.267807354614597,-0.8021975718696268,-10.45845500574709,14.991771481816185,-0.24
2026-02-02,BA,UR,True,False,False,232.95,1.13749837190118,0.02671918796219447,0.030051200884706475,0.048323236448619335,0.05578474879412987,1.1678906004521927,0.03
2026-02-02,BBY,UR,False,False,False,63.66,1.4178747809463044,0.44853536198648886,0.6270758280992439,-0.10543368270120392,-0.5007701545204024,4.986460164551576,2.51
2026-02-02,BE,UR,False,False,False,152.69,3.616992399565677,-1.0018750274829997,-3.497278077467003,-2.141444798214456,-12.508805590543359,6.203666904805227,-1.0
2026-02-02,BMNR,UR,False,False,False,23.8,4.24879544459047,-1.0309286215870632,-4.201683877896867,-2.0454557276991236,-1.9736792572315753,0.9743105141622355,-1.0
2026-02-02,CAT,ORB9,False,False,True,679.12,0.236155390246795,-2.0953399658202856,-0.49366002257517083,0.9339922881728516,4.525921578996939,5.092554468420962,-1.0
2026-02-02,CHRD,UR,True,False,False,96.39,1.6557688251423786,-1.5606926596088704,-2.542055685844935,20.987518850778017,38.885910071627514,1.8877883582455457,0.11
2026-02-02,COHR,UR,True,False,False,219.72,5.61430494135744,1.3698631182108834,7.281995822275222,0.9222215511185003,5.970148639426953,6.921750442218122,0.23
2026-02-02,COIN,UR,False,False,False,189.27,1.812802582033357,-0.41839744499953885,-0.7449671842597594,-2.94964048520775,-4.364950985627935,1.5020524917838118,-1.0
2026-02-02,CRCL,UR,False,False,False,60.59,1.7293485560779143,-1.6796110579111059,-2.8552556356633785,-5.999991522909338,-4.587157211929438,0.7704173328454411,-1.0
2026-02-02,CRWV,UR,True,False,False,91.15,2.4157303370786476,-1.0279058412063953,-2.4245721981280943,2.666618226735209,1.2592703917737813,0.4744756148527651,-1.0
2026-02-02,CSCO,ORB9,False,False,True,80.81,0.11149653121902414,-10.039208306206241,-1.1180902704598372,-2.136365142677986,-6.994050986389366,3.3846146021133894,-1.0
2026-02-02,CVNA,UR,False,False,False,79.41,1.547314578005099,1.7917379584194335,2.730138433053142,0.14623883711790986,0.6055500855171481,4.3197009121126895,1.78
2026-02-02,CVX,UR,False,False,False,174.37,0.996235157833758,-2.9463153218114146,-2.906269629819136,18.341335005414006,14.544120003626727,0.7993078086292238,-0.14
2026-02-02,DELL,ORB9,False,False,False,117.15,0.6097560975609762,-0.780323727030149,-0.47292347092736664,-0.42138362965204584,-1.686809039956827,4.169948682500468,2.85
2026-02-02,DINO,UR,False,False,False,51.25,1.9494728466282085,-0.877944790587136,-1.6788017459032023,-0.1823882182282896,-0.5591926174318806,3.162920505488742,0.63
2026-02-02,DK,UR,False,False,False,29.02,3.53193007491972,-0.563711609503236,-1.9230685506829825,15.851590106878481,48.78252241653167,3.1751672060160274,-0.11
2026-02-02,GE,UR,False,False,False,305.99,1.6510530861736816,-0.08984153947120355,-0.14592387044409794,-0.30429014137778326,-0.7579903452627712,2.554648436007012,0.55
2026-02-02,GH,UR,True,True,False,114.36,1.7347211102215043,-4.2102556277544005,-7.1790822613860605,-3.5140592396949466,-7.6153175664051105,2.215103445111666,0.31
2026-02-02,GLW,ORB9,False,True,False,109.11,0.36795143041119527,62.92740020751864,23.06934294107581,3.3695615039083555,22.319215504599388,7.093641282982044,3.1
2026-02-02,GOOGL,ORB9,False,False,False,342.41,0.26353547480308936,-3.732838270399192,-0.9811496286204813,-1.3213378305187233,-3.0987167541697946,2.4014532197167426,-1.0
2026-02-02,HD,UR,False,False,False,374.64,1.7379969585053168,-0.6413341522216799,-1.0955953913673766,0.04655873075290793,0.12165463162923107,2.6830342018323794,0.55
2026-02-02,HOOD,UR,False,False,False,91.71,2.104208416833675,-0.9523790147569409,-1.9627045446413915,-2.2903156340367934,-3.158718553675266,1.398449891474507,-1.0
2026-02-02,ILMN,UR,True,False,False,141.89,1.5022533800701066,-0.36190243675594685,-0.5356227480354359,-4.253703640442273,-4.0388379577852795,0.9585890700608557,-0.37
2026-02-02,INTU,UR,False,False,False,497.84,1.7890367825962539,-1.6414136439732114,-2.88493680394617,-106.06001515013452,-10.886436218308937,0.10274957975771049,-1.0
2026-02-02,IOVA,UR,True,False,False,2.52,2.0242914979756943,-1.5999988555908264,-3.1746009039500422,-1.2142857142857142,-6.5134040118083885,5.668010723237438,1.7
2026-02-02,IREN,UR,True,False,False,51.22,3.203707435019143,-3.9496863982962447,-12.260838292251098,-2.3594206968842224,-15.335348386486602,6.95144204853928,1.16
2026-02-02,JPM,UR,False,False,False,303.76,0.7930450940704104,0.6009194601529884,0.4728066597858849,0.29836977024520445,0.6555361446319186,2.246414587031964,1.85
2026-02-02,KLAC,UR,True,False,False,142.59,1.849999999999996,-0.7978475563314433,-1.449207637911809,-5.259625911339588,-3.8930856489049814,0.7457025564609365,-0.62
2026-02-02,LITE,ORB9,True,False,False,434.52,0.6136105772570399,-4.188674178213472,-2.5545398536927166,7.326088936356937,31.887956339294732,4.550735484275448,-1.0
2026-02-02,META,UR,False,False,False,710.86,1.0433249943143208,-2.778157662955542,-2.8685925844883275,-5.090036806314737,-2.0823559716553253,0.41078484379262203,-0.61
2026-02-02,MRVL,UR,False,False,False,78.32,2.085505735140769,0.17578582763672365,0.35911302887992047,-1.6082484516231483,-3.966445178338618,2.528678845853194,0.2
2026-02-02,MU,ORB9,False,True,False,429.1,1.6824644549763068,-1.3944547411421642,-2.30730101657175,-2.1007208974715894,-13.339428262789566,6.780484827553357,1.23
2026-02-02,NTRA,UR,False,False,False,230.89,2.05533946251768,0.045162602906589175,0.09095504504985641,-0.7032713945943232,-1.479884611600768,2.1495186915900355,0.02
2026-02-02,NUE,UR,True,False,False,176.94,0.9182684081446402,3.2421150918332997,2.9500425555847087,0.40319457202226605,1.254413862173509,3.211090414655615,2.49
2026-02-02,NVDA,UR,True,False,False,187.95,0.7234726688102766,-2.054309986255787,-1.4755618416841143,-7.21921154755027,-2.8392832113479094,0.3948483926110802,-1.0
2026-02-02,ORCL,UR,False,False,False,167.52,2.040567704209062,-2.5582280856459745,-5.115845324089108,-89.83693075069202,-3.367485067356135,0.03749847412108931,-1.0
2026-02-02,OSCR,UR,False,False,False,14.24,2.005730659025784,-0.8571428571428599,-1.6853932584269704,-1.125002980235081,-0.6428582327706489,0.5747120924395333,-1.0
2026-02-02,PARR,UR,False,False,False,37.12,3.283249860879245,3.042372105485305,9.671333740497467,1.664803362046552,7.89822310731918,4.980525831731941,0.51
2026-02-02,SMTC,ORB9,False,True,False,85.48,1.0282472520978692,-4.137934191473582,-4.211514677798355,-0.0753880247320832,-0.7748408028981246,11.45542864766993,2.66
2026-02-02,SNDK,ORB9,False,False,False,648.32,4.0642054574638875,-2.518562883374059,-9.836193886819977,-1.0973621142802983,-13.384640029829464,13.89146003080075,0.69
2026-02-02,SOFI,UR,False,False,False,22.25,1.784080512351327,-0.4358976315229361,-0.7640452867143654,-1.4545486071976625,-1.4492739851898917,1.0064012223783392,-0.46
2026-02-02,STX,ORB9,False,True,False,432.46,1.6190050990436244,-2.1562740951560246,-3.435399462522537,-1.098742940707617,-8.481349531529258,8.364832060131677,-1.0
2026-02-02,TEAM,UR,False,False,False,118.51,2.455260655312519,-1.6936630463935958,-4.0587317962685105,-37.826776355071985,-7.65171256090934,0.2026929805805766,-1.0
2026-02-02,TER,ORB9,False,False,False,252.57,0.8182979402842072,-1.6264344750381199,-1.3201055841264298,6.187041507873442,21.968176894239335,3.681389736053453,-1.0
2026-02-02,TGTX,UR,False,False,False,29.22,1.0024196335983282,-0.13792998215247493,-0.13689149494940933,0.9499115504854018,1.88485000448404,2.0244064068401846,-1.0
2026-02-02,TIGO,UR,False,False,False,61.27,3.2002694963786604,-1.3631958810906637,-4.22730891802231,18.530310630217087,38.98548040443901,2.1490904516407783,-0.33
2026-02-02,TSLA,UR,False,False,False,417.42,0.7044632086851577,1.5034238214362021,1.0516979441794305,0.020519007740028555,0.03555958781265023,1.7635699779478209,1.49
2026-02-02,TXG,UR,False,False,False,20.13,2.5471217524197565,-0.35999847412109176,-0.8941839893718107,-2.093739755502971,-3.358396243966999,1.6301661531011202,-0.38
2026-02-02,UNH,UR,False,False,False,288.25,2.114921354683297,-1.3730200890520248,-2.843687747316781,-0.4259905218978109,-0.49372443206924244,1.1725937271176212,-0.43
2026-02-02,WDC,ORB9,False,False,False,263.44,1.3971748585504873,1.7503645295282397,2.411867310274629,-0.005197511168812784,-0.055508362770095854,11.956753719586732,1.87
2026-02-02,WFC,UR,False,False,False,90.73,0.9232480533926557,-3.3620770925498986,-3.075635387210851,-1.2163845641690076,-3.124336818667728,2.636257037776879,1.88
2026-02-02,WPM,UR,True,False,False,133.63,2.792307692307694,-0.5510595232330401,-1.496928885232307,-0.4239500962972053,-0.9908559469382738,2.3931317483982584,-1.0
2026-02-02,XOM,UR,False,False,False,139.44,0.9556907037358675,-2.849842880711424,-2.6977858595374826,31.521987613921763,7.743757821104302,0.24626708960089339,-1.0
2026-02-03,ABBV,UR,False,False,False,226.86,1.4398139867644488,-1.4405100567740603,-2.0446276923267726,-4.232673145470455,-3.788893777819524,0.9032392586182603,-0.4
2026-02-03,ADBE,UR,False,False,False,283.0,1.7144089422420183,-2.32075625245677,-3.9116633654483257,8.54941480264261,2.8610300403945743,0.335769942807973,-1.0
2026-02-03,ADM,UR,False,False,False,64.86,3.9423076923077005,-0.3055756111455154,-1.1589824289515382,-0.3927848273409931,-2.908436662864411,7.996791252801572,1.02
2026-02-03,APH,UR,True,True,False,71.98,2.113775003546614,0.8687342701342202,1.7982968359266494,-2.8059204014543884,-11.600708188397101,4.312669893113785,1.02
2026-02-03,BBY,UR,False,False,False,66.17,2.74844720496894,-1.3737812796555038,-3.6747663064685465,1.2906024661248545,2.3028862730368083,1.8167673000367035,-0.34
2026-02-03,BE,LVL,False,False,False,171.87,7.304738715115211,-2.095725974058491,-14.266593295214047,-2.182371220085338,-12.75385953222582,6.206763207147503,-1.0
2026-02-03,BMNR,UR,False,False,False,22.52,2.3636363636363678,-0.32692234332744835,-0.7548828531539709,-1.564887007747333,-9.172264471676817,6.226232932222042,-1.0
2026-02-03,CHRD,UR,True,False,False,97.34,2.0549381421681723,-1.33299722476881,-2.684070845024533,18.01846020770346,37.73113940770452,2.138814189842342,0.03
2026-02-03,COHR,UR,False,False,False,229.7,3.913141823116928,-2.1618497109826635,-8.141053548106225,-2.236164314658028,-7.932626431967959,3.6778961826658962,-0.05
2026-02-03,CRWV,UR,True,False,False,89.81,2.863360439812168,0.09999902343749908,0.27836271973471494,-1.23980454801729,-8.438817099874418,7.303702169818704,-1.0
2026-02-03,CVNA,UR,False,False,False,81.5,3.887826641172709,0.18754052334144486,0.7018387683330074,-0.9569065081773731,-4.220680556654289,4.614280014093364,0.21
2026-02-03,CVX,LVL,False,False,True,177.44,1.163055872291907,-2.076764873429848,-2.3876241781993213,4.965307278882197,11.964241571138135,2.469060884105212,0.3
2026-02-03,DDS,UR,True,False,False,628.23,4.5551376360549956,0.2404849380309182,1.0477170389676216,-0.1473926012723701,-0.9337548674638207,6.763641387212549,0.46
2026-02-03,DELL,UR,False,False,False,119.16,1.1544991511035718,-1.8853160633760322,-2.151753815199231,-1.8526247066201005,-1.502349064454056,0.8175598989558219,-1.0
2026-02-03,DK,UR,True,False,False,28.53,2.404881550610205,20.62144880152455,48.427517339717774,4.072879686073522,39.47458404722224,10.732231534866553,3.45
2026-02-03,FCX,ORB9,False,False,False,64.5,0.9705698184095057,-4.71833752047633,-4.535456221233048,-1.3574872301338397,-4.345134114220828,3.3067088582757087,-1.0
2026-02-03,FTI,LVL,False,False,True,57.01,1.477394090423645,-1.0573303958019575,-1.5393513918884771,2.9942195632490436,9.03383058945131,3.1109504104452457,0.36
2026-02-03,FTNT,UR,True,False,False,80.83,0.9113607990012484,-2.0958862304687362,-1.8928577857753148,-0.24503458485542065,-0.4665860433076374,1.9411262610347535,-1.0
2026-02-03,GLW,UR,False,True,False,114.07,2.231582720917724,-1.9909013495387815,-4.345879162226318,6.959706879987142,19.68390970690608,2.910586209688204,-1.0
2026-02-03,GOOG,UR,False,False,False,347.62,1.1729095724555494,-1.8822315301256076,-2.1820933969294742,-3.4881187979083714,-2.160254110164783,0.6231772621642762,-1.0
2026-02-03,GOOGL,UR,False,False,False,346.61,1.2265996904295973,-1.7998939150855735,-2.1809972139751888,-2.977674879545305,-1.9634284593031182,0.6637598086563168,-1.0
2026-02-03,HD,ORB9,True,False,False,388.59,0.20629722272362816,-19.485096740723733,-4.01144584075197,-0.6146355372407106,-0.6612462381960782,1.0875347754683462,-1.0
