entry,roc,roc_net,strategy
2018-02-09,0.17469879518072293,-0.23012048192771087,TLT Bear Call Spread
2018-03-23,0.38888888888888884,0.15833333333333327,TLT Bear Call Spread
2018-04-06,0.34722222222222215,0.18611111111111106,TLT Bear Call Spread
2018-10-12,0.1585365853658536,-0.17317073170731695,TLT Bear Call Spread
2018-10-26,0.33333333333333326,0.1999999999999999,TLT Bear Call Spread
2018-12-14,-0.9999999999999998,-1.0834394904458597,TLT Bear Call Spread
2018-12-21,0.311111111111111,0.1413333333333332,TLT Bear Call Spread
2018-12-28,0.2532467532467532,0.12857142857142856,TLT Bear Call Spread
2019-01-04,0.2847222222222222,0.054166666666666696,TLT Bear Call Spread
2020-02-28,0.24946236559139784,0.21032258064516132,TLT Bear Call Spread
2020-03-06,0.15627466456195738,-0.000157853196527288,TLT Bear Call Spread
2020-03-20,0.05402160864345735,-0.022929171668667477,TLT Bear Call Spread
2020-03-27,0.2445923460898502,0.21098169717138102,TLT Bear Call Spread
2020-04-03,0.25935828877005357,0.0636363636363637,TLT Bear Call Spread
2020-04-17,0.20042194092827006,0.1556962025316457,TLT Bear Call Spread
2020-04-24,0.19746376811594193,0.15905797101449268,TLT Bear Call Spread
2020-05-01,0.24155844155844156,0.15792207792207796,TLT Bear Call Spread
2020-05-08,0.29155313351498635,0.2147138964577657,TLT Bear Call Spread
2020-05-15,0.16564417177914104,0.03926380368098148,TLT Bear Call Spread
2020-05-22,0.21221864951768493,0.10868167202572356,TLT Bear Call Spread
2020-05-29,0.30821917808219174,0.2561643835616438,TLT Bear Call Spread
2020-06-05,-1.0,-1.0628378378378378,TLT Bear Call Spread
2020-06-12,0.2541254125412541,0.14125412541254123,TLT Bear Call Spread
2020-06-19,-0.8287671232876712,-0.8684931506849315,TLT Bear Call Spread
2020-06-26,0.2333333333333334,0.16933333333333334,TLT Bear Call Spread
2020-07-10,-0.9682539682539681,-1.0015873015873016,TLT Bear Call Spread
2020-07-17,-0.7235023041474654,-0.7608294930875575,TLT Bear Call Spread
2020-07-24,0.22564102564102556,0.16615384615384612,TLT Bear Call Spread
2020-07-31,0.2787610619469027,0.22035398230088496,TLT Bear Call Spread
2020-08-07,0.2690582959641256,0.15156950672645744,TLT Bear Call Spread
2020-08-14,0.29906542056074775,0.2,TLT Bear Call Spread
2020-08-21,0.27927927927927915,0.2198198198198197,TLT Bear Call Spread
2020-08-28,0.1407942238267147,0.1079422382671479,TLT Bear Call Spread
2020-09-04,0.33221476510067116,0.23422818791946307,TLT Bear Call Spread
2020-09-11,0.3523809523809523,0.23238095238095233,TLT Bear Call Spread
2020-09-18,0.35944700460829504,0.26635944700460856,TLT Bear Call Spread
2020-09-25,0.351851851851852,0.3000000000000002,TLT Bear Call Spread
2020-10-02,0.300925925925926,0.21203703703703716,TLT Bear Call Spread
2020-10-09,0.326923076923077,0.24423076923076936,TLT Bear Call Spread
2020-10-16,0.3261648745519713,0.2752688172043011,TLT Bear Call Spread
2020-10-23,0.39501779359430617,0.32313167259786485,TLT Bear Call Spread
2020-10-30,0.38968481375358166,0.3432664756446991,TLT Bear Call Spread
2020-11-06,0.3476190476190476,0.1038095238095238,TLT Bear Call Spread
2020-11-13,0.2602739726027397,0.11506849315068492,TLT Bear Call Spread
2020-11-20,0.24915824915824925,0.18114478114478122,TLT Bear Call Spread
2020-11-27,0.2669683257918551,0.2027149321266967,TLT Bear Call Spread
2020-12-04,0.041860465116279,-0.009767441860465138,TLT Bear Call Spread
2020-12-11,0.3207547169811321,0.23018867924528305,TLT Bear Call Spread
2020-12-18,0.34931506849315047,0.1630136986301367,TLT Bear Call Spread
2021-01-08,0.379310344827586,0.22620689655172388,TLT Bear Call Spread
2021-01-15,0.27433628318584075,0.17168141592920355,TLT Bear Call Spread
2021-01-22,0.2648401826484017,0.1634703196347031,TLT Bear Call Spread
2021-01-29,0.2747747747747747,0.18828828828828825,TLT Bear Call Spread
2021-02-05,0.3101851851851852,0.20277777777777783,TLT Bear Call Spread
2021-02-19,0.3159722222222222,0.21458333333333338,TLT Bear Call Spread
2021-02-26,0.23432343234323433,0.17425742574257425,TLT Bear Call Spread
2021-03-05,0.29616724738675965,0.19790940766550533,TLT Bear Call Spread
2021-03-12,0.30526315789473696,0.19228070175438608,TLT Bear Call Spread
2021-03-19,-0.6038647342995169,-0.6864734299516908,TLT Bear Call Spread
2021-05-21,-1.0,-1.0805555555555555,TLT Bear Call Spread
2021-06-18,0.25449871465295626,0.18714652956298192,TLT Bear Call Spread
2021-09-10,0.2602739726027397,0.12876712328767131,TLT Bear Call Spread
2021-09-17,0.23893805309734517,0.1451327433628318,TLT Bear Call Spread
2021-10-01,0.30733944954128445,0.1825688073394496,TLT Bear Call Spread
2021-11-26,0.3116438356164384,0.2664383561643836,TLT Bear Call Spread
2021-12-03,0.28289473684210525,0.18026315789473682,TLT Bear Call Spread
2021-12-17,0.2247557003257329,0.14592833876221498,TLT Bear Call Spread
2022-01-21,0.282312925170068,0.19659863945578235,TLT Bear Call Spread
2022-01-28,0.3087557603686636,0.23410138248847923,TLT Bear Call Spread
2022-02-04,0.30733944954128445,0.21926605504587163,TLT Bear Call Spread
2022-02-11,0.2774725274725274,0.12582417582417574,TLT Bear Call Spread
2022-02-18,0.29096989966555176,0.18996655518394637,TLT Bear Call Spread
2022-02-25,0.2957746478873239,0.2478873239436619,TLT Bear Call Spread
2022-03-04,0.29057591623036655,0.17225130890052362,TLT Bear Call Spread
2022-03-11,0.2516778523489933,0.1536912751677852,TLT Bear Call Spread
2022-03-18,0.27397260273972596,0.21506849315068485,TLT Bear Call Spread
2022-03-25,0.3131672597864768,0.24839857651245545,TLT Bear Call Spread
2022-04-08,0.32091690544412615,0.22292263610315197,TLT Bear Call Spread
2022-04-22,0.31543624161073824,0.21744966442953015,TLT Bear Call Spread
2022-04-29,0.27681660899653976,0.213840830449827,TLT Bear Call Spread
2022-05-06,-1.0,-1.063957597173145,TLT Bear Call Spread
2022-05-13,0.27727272727272717,0.1809090909090908,TLT Bear Call Spread
2022-05-20,0.24666666666666667,0.1626666666666667,TLT Bear Call Spread
2022-05-27,0.28571428571428575,0.2202764976958526,TLT Bear Call Spread
2022-06-03,0.3476190476190476,0.27523809523809517,TLT Bear Call Spread
2022-06-10,0.2863849765258215,0.21032863849765246,TLT Bear Call Spread
2022-06-17,0.38888888888888895,0.21666666666666665,TLT Bear Call Spread
2022-06-24,-0.7327188940092166,-0.7654377880184332,TLT Bear Call Spread
2022-07-01,0.22513089005235595,0.14869109947643974,TLT Bear Call Spread
2022-07-08,-1.0,-1.0422818791946307,TLT Bear Call Spread
2022-07-15,0.3971962616822432,0.2887850467289722,TLT Bear Call Spread
2022-07-22,0.2550335570469799,0.09261744966442949,TLT Bear Call Spread
2022-07-29,0.3310580204778158,0.2825938566552902,TLT Bear Call Spread
2022-08-05,0.2736486486486486,0.1885135135135135,TLT Bear Call Spread
2022-08-19,0.31336405529953915,0.2294930875576038,TLT Bear Call Spread
2022-08-26,0.2924528301886792,0.23018867924528294,TLT Bear Call Spread
2022-09-02,0.2818181818181818,0.19454545454545458,TLT Bear Call Spread
2022-09-09,0.3061224489795919,0.19591836734693882,TLT Bear Call Spread
2022-09-16,0.2731481481481481,0.1935185185185185,TLT Bear Call Spread
2022-09-23,0.2969283276450512,0.22116040955631414,TLT Bear Call Spread
2022-09-30,0.29861111111111105,0.22499999999999998,TLT Bear Call Spread
2022-10-07,0.30841121495327095,0.2093457943925232,TLT Bear Call Spread
2022-10-14,0.3014184397163121,0.19787234042553192,TLT Bear Call Spread
2022-10-21,-0.9568345323741005,-1.0021582733812948,TLT Bear Call Spread
2022-10-28,0.29729729729729726,0.2594594594594594,TLT Bear Call Spread
2022-11-04,-1.0,-1.0427230046948357,TLT Bear Call Spread
2022-11-11,-1.0,-1.0542056074766355,TLT Bear Call Spread
2022-11-18,-1.0,-1.0444444444444445,TLT Bear Call Spread
2022-11-25,-1.0,-1.0376744186046511,TLT Bear Call Spread
