date,sym,t,brk,rt_vwap,rt_mid,rnd
2026-02-02,AMD,10:04,0.14642979279024804,,,-0.07985355519900168
2026-02-02,AXTI,10:14,-0.6647673314339797,,,-3.450372967421955
2026-02-02,COHR,10:14,-1.008167716377717,,,-1.364965623595397
2026-02-02,LITE,10:29,-2.5568443339777147,,,-3.1769742943566235
2026-02-04,AXTI,09:49,-9.016920670790485,-9.635101993374228,-9.635101993374228,-0.9326304287639365
2026-02-05,AXTI,10:39,5.203503348789296,,,11.703923718940748
2026-02-05,SMTC,11:29,-0.1440230436869805,,,-0.06257585683014562
2026-02-05,TSM,11:29,-0.4051876063805637,,,0.33841548281025036
2026-02-06,AXTI,09:49,-9.302492928383987,5.855707280603384,10.362219165520404,7.4695750713601905
2026-02-06,TSM,09:49,0.8118942947734187,,,0.6973320253630844
2026-02-06,MU,09:54,1.2759621062360393,3.173457367455268,4.06795757927505,1.6270109323582933
2026-02-06,DDS,11:04,1.5644794480821789,,,2.772306383294391
2026-02-09,MU,09:49,-1.5140126152727307,,,-0.9619006206755673
2026-02-09,BE,10:14,1.7905161671148306,2.3949330342416086,,1.383454784860964
2026-02-10,MU,10:14,-2.1182828137091603,-0.17924023542001954,0.005360349494787364,-0.3991905313044571
2026-02-12,CHEF,10:59,-2.459799071102542,-2.4892965153596847,,-2.4780806660388808
2026-02-13,NBIS,09:49,4.991965720407077,,,3.3446209827196296
2026-02-13,HNGE,10:14,-4.031408057314789,-3.1615633557381173,,-2.5936216973006334
2026-02-17,COHR,10:49,1.8705435688489702,,,4.758922182846821
2026-02-17,FLR,11:09,1.2930135557872813,,,3.515642206195261
2026-02-18,SNDK,09:59,0.689077039148267,,,-1.0303012385728172
2026-02-18,NBIS,10:14,0.9212481426448704,,,0.07781750413428841
2026-02-20,DELL,10:29,0.7040803722155875,1.1748159179283624,,1.5958131006881704
2026-02-20,NVDA,11:04,-0.0684426661050841,,,0.4795875211337841
2026-02-24,BE,10:34,-3.9155581260844508,,,-1.3283514110890866
2026-02-25,DELL,09:59,0.7094511946505788,,,0.8127822096813583
2026-02-25,NVDA,10:04,-0.19870586437051863,,,-0.13989289213470016
