,trades,months,mean,month_mean,t_month,t_nw,win,h1,h2,yrs_pos,worst
combined (net),139,44,-8.767991974810348,-7.664274494016904,-2.810324799119261,-2.5908649289039687,46.043165467625904,-9.981652338454463,-7.670710002200601,1/5,-117.31034482758619
combined (gross),139,44,10.997206355107105,13.389782207172807,4.960552373639294,4.4956893176845405,92.80575539568345,10.777750150525948,11.19561881404351,5/5,-100.00000000000007
call spread leg (net),139,44,-8.767991974810348,-7.664274494016904,-2.810324799119261,-2.590864928903969,46.043165467625904,-9.981652338454465,-7.670710002200602,1/5,-117.31034482758619
call spread leg (gross),139,44,10.997206355107112,13.389782207172804,4.960552373639293,4.49568931768454,92.80575539568345,10.777750150525948,11.195618814043506,5/5,-100.00000000000007
