group,exit,measure,n,mean,gross,t,h1,h2,yrs_pos,win,PASS,primary
pooled,take,abs,1708,-13.3774183684666,-10.31076206181584,-7.201834302124354,-16.794497382025206,-11.083762592242326,1/15,0.5655737704918032,False,False
pooled,take,diff,1706,0.7839828399287703,,-3.204018781155546,-2.302918446188227,2.8550184726321426,5/15,,False,False
pooled,hold,abs,1708,-16.67956533207803,-14.767122576977727,-7.281941233078947,-19.32352053892097,-14.904855672690307,1/15,0.477751756440281,False,True
pooled,hold,diff,1706,-0.4605440865198512,,-3.1492097778134496,-4.163288063276037,2.0236671025868946,5/15,,False,False
ETFs,take,abs,443,-11.458784724122088,-9.719780143030208,-4.603870186664976,-16.20468410587292,-8.024009296084522,4/15,0.5553047404063205,False,False
ETFs,take,diff,443,-1.022476699617531,,-2.799662953131127,-8.199412843830943,4.171726112926027,5/15,,False,False
ETFs,hold,abs,443,-13.478938288366734,-12.171959937276672,-4.654242550564511,-23.26806527423683,-6.394200469799273,2/15,0.46275395033860045,False,False
ETFs,hold,diff,443,-0.5003609956231556,,-2.625691725663755,-15.215415867192977,10.149445253839827,4/15,,False,False
names,take,abs,1265,-14.049319320596732,-10.51772252823642,-6.918329962943773,-17.01390792075386,-12.111679712650895,1/14,0.5691699604743083,False,False
names,take,diff,1263,1.4176024567292542,,-2.525082557142958,-0.10502674686649381,2.4120945674547496,7/14,,False,False
names,hold,abs,1265,-17.800417332365864,-15.675942378865129,-7.2149567615264525,-17.85614989738347,-17.76399081928246,2/14,0.48300395256916995,False,False
names,hold,diff,1263,-0.4465782189563017,,-2.672667837497918,-0.043657258609602685,-0.709742563475938,8/14,,False,False
