episode,breadth,strong_20,field_20,raw_excess_20,excess_20,n_strong,strong_40,field_40,raw_excess_40,excess_40,strong_60,field_60,raw_excess_60,excess_60,recovery,days_to_recovery,wait_excess_40
2010-01-28,32.4,2.5595698456711653,3.585054905229575,-1.0254850595584095,-0.057471597028016186,124.0,8.210913693011626,10.90254525960552,-2.6916315665938924,-0.5514585601117271,13.064401280117272,19.33130136272811,-6.266900082610838,-2.370220866814046,2010-02-18,14.0,-0.053855452062135184
2010-02-04,20.9,7.844019794312378,10.68574793344202,-2.8417281391296427,-0.18446269749736827,88.0,11.531332212931265,16.73869992150096,-5.207367708569696,-1.3953433414715017,14.276325503999304,19.695952933500784,-5.419627429501481,-1.4742577725018535,2010-02-18,9.0,-0.8621075334839369
2010-05-06,31.8,-3.3720074449705595,-6.841326820556122,3.4693193755855627,2.4429838737934855,117.0,-6.301629225466171,-11.899270260925844,5.597641035459673,1.2599471614825875,1.0114998620605073,-0.652942249663004,1.664442111723511,-1.2246352854388358,2010-05-12,4.0,-0.2834305423640443
2010-05-14,33.8,-2.274570507054625,-4.815709023727914,2.541138516673289,1.276885933147559,146.0,-2.7788054144297583,-5.238123917728631,2.4593185032988725,0.03532844046505581,-0.31841048809869266,-2.7414823447440995,2.423071856645407,-0.7162915831760245,2010-07-15,42.0,-0.07810136328957314
2010-07-16,31.4,2.268777399677576,1.6582073826206931,0.6105700170568829,0.459498879956499,82.0,7.278612899956973,7.162057923304127,0.11655497665284537,1.6568159627772934,10.568832777764314,13.078060765356275,-2.509227987591961,0.16288225546441254,2010-07-22,4.0,1.582660992170612
2010-08-24,29.7,6.925625543520682,9.747122410228672,-2.8214968667079896,-1.8981111359537228,81.0,9.474748614303833,15.661841962754036,-6.187093348450204,-4.233470204137286,9.741052494791486,17.608866286801174,-7.867813792009687,-4.633903586671445,2010-09-01,6.0,-4.029926296698118
2011-03-16,26.4,4.891830368089241,4.637349197522883,0.25448117056635844,0.04456423992653147,158.0,9.088916880924197,6.175444287898331,2.9134725930258663,1.9165339698832808,3.6003065783931127,-2.3461698161310345,5.946476394524147,4.04863051924825,2011-03-21,3.0,1.6614541658763047
2011-06-03,32.9,3.51603611792881,2.7593757175605886,0.7566604003682211,-0.5272079147828491,160.0,-1.4593112636501042,-3.726510525727601,2.267199262077497,0.36119028564011574,-5.605691467320704,-12.62272896003125,7.017037492710545,5.187893705136042,2011-06-30,19.0,4.913210662015127
2011-07-29,33.7,-7.753545617635216,-12.616221371515463,4.8626757538802465,3.2670173744166466,134.0,-6.851940345056451,-15.613041499924893,8.761101154868442,6.291354554339963,-0.6645858303152705,-7.889678391395714,7.225092561080444,4.312727389661749,2011-10-10,50.0,-2.260749943435101
2011-11-23,22.2,7.876473084862212,7.226594601334997,0.6498784835272151,-0.1609912409951096,67.0,9.588002415558803,16.18399429745233,-6.595991881893528,-2.864098856264682,12.259553297516163,21.75138186653308,-9.491828569016917,-3.104307160364308,2011-11-30,4.0,-1.8268784075550475
2011-12-19,34.0,5.709514207882747,14.164522729018744,-8.455008521135996,-3.6439619963212273,90.0,7.260015316817785,21.433374490117213,-14.173359173299428,-5.688502198182082,10.540645799036875,24.192442866655814,-13.651797067618936,-6.422555057734545,2011-12-20,1.0,-4.478166738890814
2012-04-10,32.7,1.6574536014233712,0.41315298062907635,1.2443006207942948,1.321304518884566,168.0,-1.3040832176367585,-5.060855447195159,3.7567722295584014,2.5708816607519616,2.185485908952709,-1.1061799790509703,3.2916658880036795,3.167946483206395,2012-04-12,2.0,2.966849662925433
2012-05-09,34.2,-2.3558637047555693,-5.54321856953898,3.1873548647834107,1.2732598801866268,168.0,1.2461868069592925,-3.6256261109922883,4.871812917951581,2.8691524511457227,3.237758885009416,-2.600281740676821,5.838040625686237,3.076041088319912,2012-06-19,28.0,0.2902415537777944
2012-06-25,31.8,1.270637532782405,0.3759028518509508,0.8947346809314545,0.5640677105684093,124.0,4.93934209247019,10.572683517407901,-5.6333414249377105,-3.415542285178473,8.148353006945033,15.793532243546366,-7.645179236601332,-4.139480377515394,2012-06-29,4.0,-2.4407651822919
2012-11-13,33.5,3.6601396595903,6.6265063221635625,-2.9663666625732623,-1.45918795815343,141.0,7.475231447792284,12.365420622980364,-4.890189175188081,-2.411322559174855,10.874652123275865,17.26700596906231,-6.392353845786445,-3.453052554651568,2012-11-23,7.0,-1.0328315506341164
