cell,start,n,mean,t,h1,h2,beta,alpha,t_alpha,yrs_pos,2000-02,2000-02 betaSh,2008 GFC,2008 GFC betaSh,2020 crash,2020 crash betaSh,2022 bear,2022 bear betaSh
B TSMOM multi-asset *P*,1998-01,344,0.3531712848499264,4.121558994812014,0.5255338045938773,0.1808087651059755,-0.05115316700259963,0.3963432539308886,4.673266809694796,24/29,29.494071460728705,2.2355462663544663,16.135194826561023,3.434471711865842,0.7404442339393852,1.0559340223787959,12.988059832961971,0.8875664158212098
A SPY short-or-flat sma10,1998-01,344,-0.16496654615341005,-0.953191206935895,0.1118756206763463,-0.4418087129831664,-0.5182149814101643,0.27239368911010875,2.2552275915735986,4/29,43.48232349508867,22.64754334373015,61.48923925073544,34.793440926694586,12.416306935476825,10.69730110258039,-0.04608227011781568,8.991627315112268
A SPY short-or-flat r12,1998-01,344,-0.02690440651128393,-0.17724230458389514,0.2297441292236439,-0.28355294224621175,-0.4021904900613816,0.3125341154614535,2.661693360392333,5/29,41.48561335863634,17.57692633917077,55.46393479230538,27.00344752509803,0.0,8.30225471497065,4.0803660679125855,6.978468639547088
A QQQ short-or-flat sma10,1998-01,344,-0.11425958745436765,-0.4212238348928118,0.12350299429420807,-0.35202216920294344,-0.6888399988683364,0.4671038133955261,2.167696989906831,6/29,96.5714388375851,30.104366509848045,34.335157143241965,46.249364970789955,0.0,14.2194439445652,22.776956906946296,11.952168061046626
A QQQ short-or-flat r12,1998-01,344,0.02481399957290805,0.10746202363929551,0.2132881727871493,-0.1636601736413332,-0.4973291225899227,0.44454710236247874,2.2461947352203,5/29,92.03688834593933,21.734768897080055,43.480716454649205,33.391144734701264,0.0,10.266162813258584,9.435623771699698,8.629233587789626
A IWM short-or-flat sma10,1998-01,344,-0.29252468518975977,-1.378310354894823,-0.20547947296416846,-0.37956989741535097,-0.5730535636459452,0.19111791567209283,1.1794737914484992,5/29,10.71548212999901,25.04415326942922,43.60019719469321,38.475354881270384,21.406248548760008,11.829311652754843,5.5290477897043475,9.943139933700577
A IWM short-or-flat r12,1998-01,344,-0.24849402027896736,-1.1526817770169362,0.021495541896638923,-0.5184835824545736,-0.582596348877208,0.24320244807713834,1.4785541681233199,5/29,38.91830648342107,25.4612015021083,59.03639276910493,39.11606645104509,21.406248548760008,12.026299487221323,5.579047789704347,10.10871825819089
