kind,date,r1,r3,r5,r10
post,2026-08-17,-1.3345986900026086,-5.515497080369325,-1.745736659755659,-3.333335907027357
post,2026-08-17,-4.132697179230849,-3.1342854432020117,2.654026507578,-8.600316341454384
post,2026-08-17,-4.364417649173335,-5.81717274593303,-10.963372048734577,-9.85533690833915
xname,2026-08-17,-8.43664147968214,-21.79752627924372,-21.005510293245642,-21.52203788898023
xname,2026-08-17,-0.2021381355882257,3.210469234987623,3.590968284488416,1.5576756382360557
xname,2026-08-17,-2.486520253121405,-5.357953749090849,-6.705147139599365,-11.20091558579308
extmatch,2026-08-17,0.7878247872471489,-3.288747155027638,-2.4244586555852488,-12.883490529133923
extmatch,2026-08-17,-0.08401788492866658,-3.2556169233140864,3.0455802233789298,-3.402644215746009
extmatch,2026-08-17,1.118789599922465,-3.4550814680772923,-1.9743286810511296,-10.365250680469707
post,2026-08-04,0.016326177390335594,-0.7144625357998757,-0.7333336209641828,-6.367896995139222
post,2026-08-04,-2.516799121552149,-2.6122216882401683,-2.7990903738786432,-7.145615689296814
post,2026-08-04,-2.044923744320881,-6.15192968475613,-4.299922410828549,-4.595730718148916
xname,2026-08-04,0.600478868210752,-6.7654069562792625,-10.768609591688417,-8.246595291002002
xname,2026-08-04,3.1064236336361795,-0.3218304037194808,1.091450488578749,-2.882523431728179
xname,2026-08-04,-0.2511335862275921,3.9231648051731405,2.429920441567579,7.09291849478515
extmatch,2026-08-04,3.539145867183646,4.442269646160146,0.8542577420767916,3.0998200065653014
extmatch,2026-08-04,-0.13711962893692142,0.21674757089800156,0.6148872807034245,2.919584304597378
extmatch,2026-08-04,0.3616604303226856,-1.627489181918751,-1.38637456371844,6.088006145824454
post,2026-06-18,-9.361390071338283,-8.640283227312807,-9.780418717306915,-25.063338657164948
post,2026-06-18,0.20180011570101186,10.440787755433778,11.163039793835372,-2.6553371847931717
post,2026-06-18,7.251128055217082,-11.686769643524986,-16.939692827847075,-19.893830872989504
xname,2026-06-18,1.6239580815145649,-0.25344575018529936,1.6145693236972125,7.274947092248829
xname,2026-06-18,-3.3930841027802083,-2.6888609434769672,1.6005121756186957,19.7823253620528
xname,2026-06-18,-3.4227585566023233,0.6783879698823547,3.7927830115993544,5.8587773913022945
extmatch,2026-06-18,1.2799987792968759,-1.4400024414062518,14.400001525878903,19.91999816894532
extmatch,2026-06-18,-5.865106266165309,-4.007824790423154,9.644838515191578,29.423266632480647
extmatch,2026-06-18,-2.516145784801982,-3.2732158220833973,-3.473616964131232,-3.7185441429956834
post,2026-06-18,1.3079009777509976,-2.550055149495656,-0.7745123146766786,-12.86716391335425
post,2026-06-18,-5.142437748209828,0.930406492397684,-6.599346771926817,-13.51604115350067
post,2026-06-18,-2.5415515802116206,3.5106869305007837,2.406777523110981,-15.58949596735495
xname,2026-06-18,0.807275545724262,3.366536452711344,6.011683066514584,7.265545830396913
xname,2026-06-18,4.114758407351737,5.0004251484867535,6.589542899098855,14.53937343782179
xname,2026-06-18,-0.3789854769348677,3.8515808321987643,5.40719366020912,-1.3617110850536407
extmatch,2026-06-18,-2.769662945965179,4.17396450359675,7.626262672193462,14.06280809548759
extmatch,2026-06-18,2.1361797790494075,4.806409377832166,3.471284828498855,0.6675395248021188
extmatch,2026-06-18,-0.6588647721376462,9.820989598656137,17.82697104562987,8.963213383555658
post,2026-06-18,0.7304479608865933,-1.3299075425431628,21.66137786000455,-0.9722395492357871
post,2026-06-18,6.476053328343445,-3.262637007904823,1.6116302289659323,-25.294034475205727
post,2026-06-18,5.934730692541423,-10.864983541483486,-16.025523768753647,-20.655319422923533
xname,2026-06-18,0.19011970604794204,4.019558522846167,5.268874677645763,4.780016390280206
xname,2026-06-18,0.11578640840927967,-1.1771495131684295,-6.406793787079412,-9.532997280547761
xname,2026-06-18,-0.7431366283767837,-8.400645964388065,-5.072701836113058,-1.0016210794612679
extmatch,2026-06-18,0.0,0.17218179260658495,-5.311261107590026,-0.2384110002328188
extmatch,2026-06-18,-5.106940567815443,-14.054994914014463,-23.963333948857745,-32.387604215248835
extmatch,2026-06-18,0.4734603235345025,14.433293584587448,14.44763290635722,-3.242459979609702
post,2026-06-18,-13.91903077104788,-13.140447770494568,-9.584087630884476,-22.523606552878782
post,2026-06-18,-4.045126894665085,-12.483488418265566,-12.303445325143535,-15.028204309165682
post,2026-06-18,-3.388850724267445,3.7473952094355223,-3.6433050650409027,-15.49849834347895
xname,2026-06-18,0.2178649237472685,-1.5860563789317772,0.8453169679329964,8.915035605170885
xname,2026-06-18,-2.359588645027133,-0.5649712123022232,2.293123688815246,4.058961693716401
xname,2026-06-18,2.955667014875263,-7.881766178592109,-1.5763532357184196,-8.768467222635323
extmatch,2026-06-18,-2.359205331799741,-3.9953954884462073,-4.3639445689083844,-10.90870519549425
extmatch,2026-06-18,5.916970218741113,6.368888556397501,5.748818847065795,-8.17656190702306
extmatch,2026-06-18,1.7894744873046875,9.05262796502364,10.21052912661904,24.63158055355674
post,2026-06-18,-1.1669100887943262,0.5738235436189454,-11.738431239487767,-16.73727416657549
post,2026-06-18,-0.129341641178371,-2.7577611504653543,-7.839062063758306,0.7760568956610481
post,2026-06-18,10.907317495691826,12.531375146849921,-0.563556580642921,11.132740127949003
xname,2026-06-18,1.3815596965136345,0.9073791275815202,2.505560591353495,3.0909664801157533
xname,2026-06-18,-1.5438040173135104,0.5017409065257716,4.052486465627747,6.175223430692278
xname,2026-06-18,-2.902344949635549,-5.493267051623496,-4.559036789353987,-6.826104395032817
extmatch,2026-06-18,-0.5528234967507761,3.194124374211782,9.643740101217091,-4.914003167610536
extmatch,2026-06-18,-5.4784515923192,-14.463108859941187,-18.18845761460898,-30.021912218073066
extmatch,2026-06-18,-2.021440892106763,8.683428536483895,6.433467897132861,-11.056426407119735
