book,sleeve,size,mean,sharpe,maxDD,worst,worst3,y2020,y2022,dSharpe,dDD
full book,TSMOM,none,1.5059508351304012,1.3041916800733182,24.970180371039778,-8.251813572160826,-6.8411150953147315,31.951971786993816,-15.701689153652595,0.0,0.0
full book,TSMOM,25%,1.6734887171117325,1.383014237395446,25.264914460831378,-7.635471653386595,-7.041779209747479,32.3839749334343,-10.14369473179086,0.07882255732212773,0.2947340897916
full book,TSMOM,50% *P*,1.8410265990930634,1.387064740708529,25.559648550622967,-11.363271186636638,-8.52778382442938,32.81597807987479,-4.585700309929124,0.08287306063521083,0.5894681795831893
full book,TSMOM,100%,2.176102363055726,1.2875014680836137,36.11227353039793,-18.818870253136723,-12.901063570357303,33.679984372755754,6.530288533794339,-0.01669021198970455,11.14209315935815
full book,  de-meaned,25%,1.5059508351304014,1.2445566106938082,28.280596336495336,-7.803009535367927,-7.209317091728811,30.373520349658328,-12.154149315566833,-0.05963506937951002,3.310415965455558
full book,  de-meaned,50% *P*,1.5059508351304014,1.1346122351947354,31.591012301950887,-11.698346950599301,-8.862859588392041,28.795068912322833,-8.60660947748108,-0.16957944487858279,6.620831930911109
full book,  de-meaned,100%,1.5059508351304016,0.8910030814770474,43.48394033757651,-19.489021781062046,-13.571215098282629,25.63816603765185,-1.5115298013095582,-0.4131885985962708,18.513759966536735
full book,  SPY short (control),25%,1.2420008230519,1.0913872453149651,24.93029568226607,-7.387095639183012,-6.980429235841258,27.731118120433393,-11.991392759548683,-0.2128044347583531,-0.03988468877370721
full book,  SPY short (control),50% *P*,0.9780508109733984,0.8197724557919095,24.89041099349236,-7.546064357898798,-7.1197433763677855,23.510264453872978,-8.281096365444768,-0.4844192242814087,-0.07976937754741797
full book,  SPY short (control),100%,0.45015078681639553,0.3048670301396522,43.080882434528256,-9.575714254599735,-9.428619283156051,15.068557120752143,-0.8605035772369476,-0.999324649933666,18.11070206348848
no-straddle,TSMOM,none,1.0948733343486667,0.9481881214721187,38.09767995212648,-9.926275436553555,-8.231365959767311,17.750242778589794,-21.40429895467476,0.0,0.0
no-straddle,TSMOM,25%,1.2624112163299979,1.070646532986776,36.43121269587682,-7.850691666554303,-6.916344254442639,18.18224592503028,-15.846304532813024,0.1224584115146573,-1.6664672562496534
no-straddle,TSMOM,50% *P*,1.429949098311329,1.1255815765139434,34.764745439627156,-8.872722380797564,-7.27347597307472,18.614249071470766,-10.288310110951294,0.1773934550418247,-3.332934512499321
no-straddle,TSMOM,100%,1.7650248622739917,1.1028794998009368,38.81097712752261,-16.328321447297647,-11.820204169640144,19.47825536435173,0.8276787327721764,0.15469137832881807,0.7132971753961357
no-straddle,  de-meaned,25%,1.0948733343486667,0.9285582418127446,40.28458398144743,-8.018229548535633,-7.083882136423969,16.171791341254302,-17.856759116588997,-0.019629879659374128,2.1869040293209565
no-straddle,  de-meaned,50% *P*,1.0948733343486667,0.861827358200787,42.47148801076841,-9.207798144760226,-7.608551737037383,14.593339903918814,-14.309219278503244,-0.08636076327133169,4.373808058641934
no-straddle,  de-meaned,100%,1.094873334348667,0.6841339071995433,46.84529606941034,-16.998472975222974,-12.490355697565471,11.43643702924783,-7.21413960233173,-0.26405421427257547,8.747616117283862
no-straddle,  SPY short (control),25%,0.8309233222701651,0.7672273140906427,37.902178456606315,-9.06155750357574,-6.991279594837362,13.529389112029376,-17.694002560570848,-0.18096080738147602,-0.19550149552016194
no-straddle,  SPY short (control),50% *P*,0.5669733101916636,0.5221177104003505,38.754776295029245,-8.196839570597927,-6.738362505759757,9.308535445468959,-13.983706166466938,-0.42607041107176824,0.6570963429027685
no-straddle,  SPY short (control),100%,0.03907328603466076,0.030040928300187546,60.49736599062527,-8.228858446986374,-7.991410678274474,0.866828112348121,-6.563113378259114,-0.9181471931719312,22.399686038498793
