entry_date,sp_gross,sp_net,pu_gross,pu_net,entry,comb_net,comb_gross
2022-04-29,0.18238993710691834,0.018616352201257916,,,2022-04-29,0.018616352201257916,0.18238993710691834
2022-05-27,0.1827956989247312,0.05333333333333338,,,2022-05-27,0.05333333333333338,0.1827956989247312
2022-06-24,0.3333333333333332,-0.038518518518518806,,,2022-06-24,-0.038518518518518806,0.3333333333333332
2022-07-29,0.26666666666666644,0.03199999999999969,,,2022-07-29,0.03199999999999969,0.26666666666666644
2022-08-19,0.33333333333333315,0.09866666666666639,,,2022-08-19,0.09866666666666639,0.33333333333333315
2022-08-26,0.16129032258064513,-0.16258064516129042,,,2022-08-26,-0.16258064516129042,0.16129032258064513
2022-09-02,0.24137931034482762,-0.10482758620689653,,,2022-09-02,-0.10482758620689653,0.24137931034482762
2022-09-09,-1.0000000000000007,-1.0840000000000005,,,2022-09-09,-1.0840000000000005,-1.0000000000000007
2022-09-16,-1.0,-1.173103448275862,,,2022-09-16,-1.173103448275862,-1.0
2022-09-23,-0.5063829787234042,-0.6557446808510639,,,2022-09-23,-0.6557446808510639,-0.5063829787234042
2022-09-30,0.16129032258064516,-0.016774193548387106,,,2022-09-30,-0.016774193548387106,0.16129032258064516
2022-10-07,0.15873015873015878,-0.0006349206349206665,,,2022-10-07,-0.0006349206349206665,0.15873015873015878
2022-10-14,0.1428571428571429,0.015238095238095252,,,2022-10-14,0.015238095238095252,0.1428571428571429
2022-10-21,0.16129032258064527,-0.09806451612903214,,,2022-10-21,-0.09806451612903214,0.16129032258064527
2022-10-28,0.16666666666666666,-0.06799999999999998,,,2022-10-28,-0.06799999999999998,0.16666666666666666
2022-11-04,0.19999999999999996,-0.20266666666666672,,,2022-11-04,-0.20266666666666672,0.19999999999999996
2022-11-11,0.2857142857142857,-0.21714285714285708,,,2022-11-11,-0.21714285714285708,0.2857142857142857
2022-11-18,0.18750000000000028,-0.12749999999999972,,,2022-11-18,-0.12749999999999972,0.18750000000000028
2022-11-25,0.1874999999999999,-0.12750000000000006,,,2022-11-25,-0.12750000000000006,0.1874999999999999
2022-12-09,0.12500000000000014,-0.315,,,2022-12-09,-0.315,0.12500000000000014
2023-01-27,0.24561403508771928,-0.03578947368421054,,,2023-01-27,-0.03578947368421054,0.24561403508771928
2023-02-03,-0.8666666666666668,-1.0004444444444445,,,2023-02-03,-1.0004444444444445,-0.8666666666666668
2023-02-10,0.19318181818181818,-0.11409090909090915,,,2023-02-10,-0.11409090909090915,0.19318181818181818
