date,sym,gshare,close_close_judged,close_resting,close_ideal,nextopen_close_judged,overnight_R,terc,gap_through,blow,open_minus_close,resting_minus_cj,month
2020-01-02,SEDG,0.3104084464728543,-1.098814276926046,-1.0,-1.0,-1.1222494982129667,-0.19169993848232272,low,False,0.0,-0.02343522128692066,0.09881427692604605,2020-01
2020-01-07,TTD,0.20014777820440963,-1.1769633941308335,-1.0,-1.0,-1.1769633941308335,0.0,low,False,0.0,0.0,0.1769633941308335,2020-01
2020-01-08,APA,0.35026549507408444,-1.043471856180619,-1.0,-1.0,-1.0526231090973734,-0.1739017909379091,mid,False,0.0,-0.009151252916754338,0.043471856180619106,2020-01
2020-01-30,MDB,0.2599335289112844,-0.2425695643268865,-1.0,-1.0,-0.3400172856439922,0.14765192966029786,low,False,0.0,-0.09744772131710569,-0.7574304356731135,2020-01
2020-02-04,TDOC,0.17815650446799272,3.1233219949314686,3.1233219949314686,3.1233219949314686,1.786230612092581,0.4798925749490181,low,False,0.0,-1.3370913828388875,0.0,2020-02
2020-02-06,ENPH,0.2959840377257736,2.5075412236948544,2.5075412236948544,2.5075412236948544,3.362503874305605,-0.19597980316907754,low,False,0.0,0.8549626506107506,0.0,2020-02
2020-02-10,ALNY,0.17101555608547356,-1.2738582030726502,-1.0,-1.0,-1.3198695486585723,-0.14384409450314514,low,False,0.0,-0.046011345585922125,0.2738582030726502,2020-02
2020-02-10,PENN,0.21679904885797477,-2.1632629626530013,-1.0,-1.0,-1.9620236865062886,0.20918328620113155,low,False,0.0,0.20123927614671278,1.1632629626530013,2020-02
2020-02-10,TNDM,0.25745233171753,-0.3032779837124842,-0.3032779837124842,-0.3032779837124842,-0.35361213972519684,0.07786989686240973,low,False,0.0,-0.05033415601271263,0.0,2020-02
2020-02-11,PENN,0.21355183161483382,-1.2253509775793427,-1.0704211730952111,-1.0,-1.1632645911670598,0.38028078206347415,low,True,0.07042117309521112,0.06208638641228292,0.15492980448413163,2020-02
2020-02-12,ALNY,0.1692773387848906,-1.003781519876776,-1.0,-1.0,-1.003788688842008,-0.0018922021656484543,low,False,0.0,-7.1689652318962516e-06,0.003781519876776107,2020-02
2020-02-12,ENPH,0.29593139818517566,1.0867061072657875,-1.0,-1.0,10.0,-0.8381509518002951,low,False,0.0,8.913293892734213,-2.0867061072657878,2020-02
2020-02-12,TNDM,0.2547910979248116,-1.5097052320478206,-1.0,-1.0,-1.5833298012122239,-0.12621431137480602,low,False,0.0,-0.0736245691644033,0.5097052320478206,2020-02
2020-02-13,PENN,0.2140989957159642,-1.2513376947383668,-1.1925138053360913,-1.0,-1.2098218163054344,0.19786254434333111,low,True,0.1925138053360913,0.04151587843293236,0.05882388940227545,2020-02
2020-02-13,TNDM,0.25439596341805243,-1.6821191551067738,-1.0,-1.0,-1.3249209382475968,1.099338869282053,low,False,0.0,0.35719821685917696,0.6821191551067738,2020-02
2020-02-14,TNDM,0.25398853033704116,-5.287583524483893,-1.0,-1.0,-5.373331705729167,-0.019607060935474218,low,False,0.0,-0.08574818124527361,4.287583524483893,2020-02
2020-02-18,MDB,0.25504009097884567,-1.7964091552834758,-1.0,-1.0,-1.6258832146139706,0.27245648499246194,low,False,0.0,0.17052594066950522,0.7964091552834758,2020-02
2020-02-18,TNDM,0.25651805463057137,-2.7488140091552706,-1.194312667683919,-1.0,-2.9999979324147743,-0.12559209146592806,low,True,0.19431266768391908,-0.25118392325950367,1.5545013414713515,2020-02
2020-02-19,TTD,0.19848946681423374,-1.9523822630053587,-1.0,-1.0,-2.037736131978995,-0.08225006949585915,low,False,0.0,-0.0853538689736364,0.9523822630053587,2020-02
2020-02-20,ENPH,0.3143094037719198,-1.7043470112276435,-1.0,-1.0,-1.8852453548762986,-0.20434825515004607,low,False,0.0,-0.1808983436486551,0.7043470112276435,2020-02
2020-02-21,ENPH,0.31400461672724767,-1.6297890714533845,-1.9148948603819895,-1.0,,-1.9148948603819895,low,True,0.9148948603819895,,-0.28510578892860505,2020-02
2020-03-04,ETSY,0.3777645176833621,-2.6529279659474185,-1.4772227021623787,-1.0,-3.411392183491776,-0.3145337464128611,mid,True,0.4772227021623787,-0.7584642175443577,1.1757052637850398,2020-03
2020-03-04,REGN,0.16065520866711375,-1.092221277053692,-1.0072090772615,-1.0,-1.175961596037339,-0.4759011106371029,low,True,0.0072090772615001075,-0.08374031898364698,0.08501219979219199,2020-03
2020-03-06,GILD,0.37350350973595886,-1.3085933430663212,-1.0,-1.0,-1.5602826644843044,-0.4492184701977941,mid,False,0.0,-0.25168932141798317,0.30859334306632125,2020-03
2020-03-18,WMT,0.48463069139400744,-1.0031867754870822,-1.0,-1.0,-1.0024498207022061,0.30081988621143996,high,False,0.0,0.0007369547848761204,0.0031867754870822385,2020-03
2020-04-14,AMZN,0.5170332888455627,9.260736620470759,9.260736620470759,9.260736620470759,10.0,-0.26403004305332956,high,False,0.0,0.7392633795292411,0.0,2020-04
2020-04-14,DG,0.41185530788899155,-1.1122467321623402,-1.0,-1.0,-1.1571501474682717,-0.2857357503593657,high,False,0.0,-0.04490341530593156,0.11224673216234016,2020-04
2020-04-14,NFLX,0.403379664731034,-0.5197864584289558,-0.5197864584289558,-0.5197864584289558,-0.5052344411726998,-0.029411944701137678,high,False,0.0,0.014552017256255989,0.0,2020-04
