sym,date,expiry,arm,width,credit,cw,iv,netdelta,roc,stock_d,excess,month
AAPL,2018-01-05,2018-02-16,cross,10.0,3.407,0.3407,0.23385,0.2504,17.77841418737834,-9.690756080823167,27.469170268201506,2018-01
AAPL,2018-01-05,2018-02-16,slip20,10.0,3.4459999999999993,0.3445999999999999,0.23385,0.2504,18.47926224250615,-9.74842155033066,28.227683792836807,2018-01
AAPL,2018-01-12,2018-02-23,cross,10.0,3.507,0.3507,0.2249999999999999,0.2643,23.129523838608435,-6.861606826238953,29.99113066484739,2018-01
AAPL,2018-01-12,2018-02-23,slip20,10.0,3.597000000000001,0.3597000000000001,0.2249999999999999,0.2643,24.86022150305867,-6.958052963106283,31.818274466164954,2018-01
AAPL,2018-01-19,2018-03-02,cross,10.0,3.8970000000000002,0.38970000000000005,0.2395999999999999,0.25609999999999994,4.858612706658279,-8.689385993011618,13.547998699669897,2018-01
AAPL,2018-01-19,2018-03-02,slip20,10.0,4.011,0.4011,0.2395999999999999,0.25609999999999994,6.854585631780842,-8.85478756309065,15.709373194871493,2018-01
AAPL,2018-01-26,2018-03-09,cross,10.0,4.0169999999999995,0.40169999999999995,0.26585,0.24389999999999995,67.14023065351829,33.75289994685109,33.3873307066672,2018-01
AAPL,2018-01-26,2018-03-09,slip20,10.0,4.077,0.4077,0.26585,0.24389999999999995,68.83336147222691,34.09481688029885,34.73854459192806,2018-01
AAPL,2018-02-02,2018-03-16,cross,10.0,3.497,0.3497,0.25825,0.251,53.775180685837306,69.26376566087195,-15.488584975034648,2018-02
AAPL,2018-02-02,2018-03-16,slip20,10.0,3.5180000000000007,0.35180000000000006,0.25825,0.251,54.27337241592103,69.48816230988128,-15.214789893960244,2018-02
AAPL,2018-02-09,2018-03-23,cross,11.5,3.807,0.33104347826086955,0.2892,0.26430000000000003,49.48654621084103,30.85498227594797,18.631563934893055,2018-02
AAPL,2018-02-09,2018-03-23,slip20,11.5,3.9570000000000003,0.34408695652173915,0.2892,0.26430000000000003,52.459233726633975,31.46856405261405,20.990669674019927,2018-02
AAPL,2018-02-23,2018-04-06,cross,7.5,2.167,0.2889333333333333,0.18885,0.22749999999999998,-74.96482477428019,-28.409447872343982,-46.55537690193621,2018-02
AAPL,2018-02-23,2018-04-06,slip20,7.5,2.2719999999999994,0.3029333333333332,0.18885,0.22749999999999998,-74.4620142542533,-28.98002783152457,-45.48198642272874,2018-02
AAPL,2018-03-02,2018-04-13,cross,10.0,3.3370000000000006,0.33370000000000005,0.22005,0.26610000000000006,12.546881073821417,-5.59326164325425,18.14014271707567,2018-03
AAPL,2018-03-02,2018-04-13,slip20,10.0,3.397,0.3397,0.22005,0.26610000000000006,13.569569679671666,-5.644086374224302,19.213656053895967,2018-03
AAPL,2018-03-09,2018-04-20,cross,10.0,2.867,0.2867,0.182,0.2899,-100.0,-56.08342129853632,-43.91657870146368,2018-03
AAPL,2018-03-09,2018-04-20,slip20,10.0,2.8909999999999996,0.28909999999999997,0.182,0.2899,-100.0,-56.27275905506536,-43.72724094493464,2018-03
AAPL,2018-03-16,2018-04-27,cross,10.0,3.2969999999999997,0.3297,0.1865,0.3056,-99.99999999999999,-70.48743166201892,-29.512568337981065,2018-03
AAPL,2018-03-16,2018-04-27,slip20,10.0,3.3659999999999997,0.33659999999999995,0.1865,0.3056,-100.00000000000001,-71.2205689524439,-28.779431047556116,2018-03
AAPL,2018-03-23,2018-05-04,cross,12.5,4.587,0.36695999999999995,0.3139,0.2578,57.967900922532536,60.995158591627124,-3.0272576690945883,2018-03
AAPL,2018-03-23,2018-05-04,slip20,12.5,4.677,0.37416,0.3139,0.2578,59.78524862584685,61.69687970542572,-1.911631079578875,2018-03
AAPL,2018-04-06,2018-05-18,cross,10.0,3.8870000000000005,0.38870000000000005,0.3007499999999999,0.21670000000000006,63.5858007524947,63.52201579498898,0.06378495750571744,2018-04
AAPL,2018-04-06,2018-05-18,slip20,10.0,3.9620000000000006,0.39620000000000005,0.3007499999999999,0.21670000000000006,65.61775422325275,64.3110438149665,1.30671040828625,2018-04
AAPL,2018-04-13,2018-05-25,cross,10.0,3.427,0.3427,0.2513499999999999,0.238,52.137532329225614,48.986174533735145,3.151357795490469,2018-04
AAPL,2018-04-13,2018-05-25,slip20,10.0,3.520000000000001,0.3520000000000001,0.2513499999999999,0.238,54.320987654321016,49.689216853432285,4.631770800888731,2018-04
AAPL,2018-04-20,2018-06-01,cross,12.5,4.627000000000001,0.37016000000000004,0.29305,0.2745000000000001,58.77048139209959,83.42436332198248,-24.653881929882893,2018-04
AAPL,2018-04-20,2018-06-01,slip20,12.5,4.723000000000001,0.37784000000000006,0.29305,0.2745000000000001,60.73035875016075,84.45416130049738,-23.72380255033663,2018-04
AAPL,2018-04-27,2018-06-08,cross,10.0,3.3770000000000002,0.3377,0.26975,0.23800000000000002,50.988977804620276,103.10940373721193,-52.12042593259166,2018-04
