cell,months,mean,t,alpha,alpha_t,beta,perm_p,h1,h2,yrs_pos,spy_down,spy_up,passed
12-1 K3 *PRIMARY*,320,-0.16833584001094318,-0.7453386869529319,-0.0138547848261508,-0.06185100248576104,-0.20300050845193,0.3708145927036482,-0.31692981043415014,-0.026990355949843847,10/27,0.5735349114988728,-0.5901839143988776,False
12-1 K2,320,-0.1263270356469128,-0.44757804816974767,0.0509691644420143,0.1813557356993999,-0.2329814404853342,0.3183408295852074,-0.2895599471904317,0.028943294845702825,12/27,0.67018924360444,-0.5792480571819956,False
6-1 K3,326,-0.16103133123543917,-0.7231970641535174,0.055413047098941653,0.25686921241952476,-0.2806199237796149,0.36231884057971014,-0.03447698102368244,-0.28604233571290616,11/28,0.8434489994691665,-0.7384862073409852,False
6-1 K2,326,-0.09678436982246703,-0.33816734737254633,0.1621895694900278,0.5809801510063003,-0.3357594577878449,0.2653673163418291,0.1019971589344733,-0.29314173359456663,10/28,0.9924053228865044,-0.722936898481248,False
