day,gross,cost,net,trades,oc,cc
2007-01-25,0.004049999999999834,0.00045,0.003599999999999834,2,-0.01532567049808431,-0.013547076089410748
2007-01-26,-0.0020520000000000776,0.000228,-0.002280000000000078,1,-0.005478201323898646,-0.002746623941405346
2007-01-29,-0.002300000000000196,0.00023000000000000003,-0.002530000000000196,1,0.0036823935558112364,0.0009180628873077801
2007-01-30,0.0,0.0,0.0,0,0.0,0.0016051364365972098
2007-01-31,-0.0036640000000002474,0.000458,-0.004122000000000247,2,0.010550458715596456,0.008699633699633669
2007-02-01,0.0,0.0,0.0,0,-0.006098938332956938,-0.001361779391738538
2007-02-02,0.0,0.0,0.0,0,0.0013602357742008575,0.0038636363636364024
2007-02-05,0.0,0.0,0.0,0,-0.0002265518803805655,-0.0009055920307901033
2007-02-06,-0.004520000000000064,0.00022600000000000002,-0.004746000000000064,1,-0.0036182722749885654,-0.0015862225243598038
2007-02-07,-0.0015750000000000063,0.000225,-0.0018000000000000065,1,0.004742547425474308,0.009759418974126133
2007-02-08,0.0,0.0,0.0,0,0.0027033115566568178,0.0004495392222969574
2007-02-09,0.0022399999999998727,0.00022400000000000002,0.0020159999999998725,1,-0.015256899259591616,-0.013929454055268464
2007-02-12,-0.0020430000000004,0.000681,-0.0027240000000003997,3,-0.003874202370100277,-0.004101161995898828
2007-02-13,-0.005244000000000091,0.000228,-0.0054720000000000905,1,0.0013701758392328234,0.003202928391672355
2007-02-14,0.002269999999999871,0.000227,0.002042999999999871,1,0.01180476730987512,0.01641961231470912
2007-02-15,0.0,0.0,0.0,0,0.004033161550526465,0.005384787973973459
2007-02-16,0.0,0.0,0.0,0,0.002462502798298516,-0.0006694934166481259
2007-02-20,0.0011149999999996198,0.000446,0.0006689999999996198,2,0.008958566629339249,0.006029477445288034
2007-02-21,0.0,0.0,0.0,0,0.0060106856634014605,0.0031076581576026108
2007-02-22,-0.002860000000000056,0.00022,-0.0030800000000000562,1,0.001322751322751392,0.005089621597698768
2007-02-23,-0.0011000000000000937,0.00022,-0.0013200000000000937,1,-0.0033032371724289744,-0.003522677234698457
2007-02-26,-0.00043800000000022407,0.00043799999999999997,-0.0008760000000002239,2,-0.009232798417234567,-0.004197967300044181
2007-02-27,0.02114999999999979,0.000225,0.02092499999999979,1,-0.026149684400360584,-0.04149101397825594
2007-02-28,-0.006930000000000262,0.000693,-0.007623000000000263,3,0.003707136237256714,0.002777777777777768
2007-03-01,0.0,0.0,0.0,0,0.01363102232667468,-0.004385964912280604
2007-03-02,0.0,0.0,0.0,0,-0.007012622720897754,-0.015070716438673859
2007-03-05,0.0,0.0,0.0,0,0.0,-0.007532956685499026
2007-03-06,-0.0014100000000000534,0.00023500000000000002,-0.0016450000000000535,1,0.0072855464159813366,0.016603415559772294
2007-03-07,0.0,0.0,0.0,0,-0.004200700116686162,-0.004433037797480166
2007-03-08,0.0,0.0,0.0,0,-0.0037105751391465214,0.006796344035622237
2007-03-09,0.0,0.0,0.0,0,-0.009462266328179036,-0.0009310986964617962
2007-03-12,0.0,0.0,0.0,0,0.007929104477611748,0.006989748369058635
2007-03-13,0.0030159999999998946,0.00046399999999999995,0.0025519999999998946,2,-0.01465116279069778,-0.0196668209162425
2007-03-14,0.0014099999999998864,0.00023500000000000002,0.0011749999999998864,1,0.010841385811925619,0.012272834552749634
2007-03-15,0.0,0.0,0.0,0,0.0009334889148191472,0.0
2007-03-16,-0.0018560000000001253,0.00023199999999999997,-0.0020880000000001253,1,-0.0027939464493598187,-0.0013989274889252279
2007-03-19,-0.002088000000000244,0.00023199999999999997,-0.002320000000000244,1,0.0034835113794704498,0.008872285780994638
2007-03-20,-0.0013860000000000526,0.000231,-0.0016170000000000524,1,0.00415992604575921,0.005554269844943338
