ticker,entry_date,roc_net,roc,credit_pct_of_width,vix_on_entry,max_loss,entry,month,cw
QQQ,2018-02-09,0.05419734904270994,0.10162002945508108,0.15125000000000005,29.06,339.49999999999994,2018-02-09,2018-02,0.15125000000000005
QQQ,2018-03-23,0.08022988505747124,0.09770114942528733,0.12999999999999998,24.87,434.99999999999994,2018-03-23,2018-03,0.12999999999999998
QQQ,2018-04-06,0.08428005284015852,0.10303830911492734,0.1588888888888889,21.49,378.5,2018-04-06,2018-04,0.1588888888888889
QQQ,2018-10-12,0.12280071813285456,0.13644524236983843,0.14307692307692307,21.31,557.0,2018-10-12,2018-10,0.14307692307692307
QQQ,2018-10-26,0.11004366812227077,0.12663755458515286,0.1672727272727273,24.16,458.0,2018-10-26,2018-10,0.1672727272727273
QQQ,2018-11-23,0.10267379679144388,0.11764705882352945,0.16888888888888892,21.52,374.0,2018-11-23,2018-11,0.16888888888888892
QQQ,2018-12-07,-0.7696236559139785,-0.7580645161290323,0.17333333333333334,23.23,372.0,2018-12-07,2018-12,0.17333333333333334
QQQ,2018-12-14,0.18975741239892177,0.21024258760107814,0.17555555555555555,21.63,371.0,2018-12-14,2018-12,0.17555555555555555
QQQ,2018-12-21,0.0992628992628992,0.12285012285012281,0.186,30.11,407.0,2018-12-21,2018-12,0.186
QQQ,2018-12-28,0.11157684630738526,0.13073852295409186,0.16500000000000004,28.34,501.0,2018-12-28,2018-12,0.16500000000000004
QQQ,2019-01-04,0.09642384105960262,0.11788079470198673,0.1611111111111111,21.38,377.5,2019-01-04,2019-01,0.1611111111111111
QQQ,2020-02-28,0.10634682658670666,0.12543728135932036,0.16625,40.11,1000.4999999999999,2020-02-28,2020-02,0.16625
QQQ,2020-03-06,-0.213601741022851,-0.20021762785636568,0.16454545454545452,41.94,919.0000000000001,2020-03-06,2020-03,0.16454545454545452
QQQ,2020-03-13,0.12852703542573027,0.1858297078931013,0.1955,57.83,804.5,2020-03-13,2020-03,0.1955
QQQ,2020-03-20,0.03642172523961642,0.15335463258785917,0.2174999999999998,66.04,313.00000000000006,2020-03-20,2020-03,0.2174999999999998
