date,sym,t,b-0.0020,b-0.0010,b+0.0000,b+0.0010,b+0.0020,b+0.0040,post
2026-02-02,NUE,09:41,2.605539962008452,2.605539962008452,2.266304962134047,2.266304962134047,,,0.8051167811033247
2026-02-02,CHRD,09:42,0.35332017042501995,0.35332017042501995,0.35332017042501995,-0.5970149253731516,-0.9640036919290496,,-0.6713274990493309
2026-02-02,GH,09:42,1.201637396012134,1.201637396012134,0.5246589716684014,0.5246589716684014,-0.03478260869566041,,-0.05056908076428446
2026-02-02,WPM,09:44,-2.156974023372371,-2.156974023372371,-2.163061884467188,-2.163061884467188,-2.169247875181002,,0.7834098969675685
2026-02-02,COHR,09:45,1.2197342071727624,1.2197342071727624,1.2197342071727624,1.2197342071727624,1.2197342071727624,1.2197342071727624,-0.501344358593403
2026-02-02,NVDA,09:50,-0.687257654766682,-0.687257654766682,-1.2204724371952302,-1.2204724371952302,-1.2204724371952302,,-1.2179260381595336
2026-02-02,IOVA,09:57,4.200000000000004,4.200000000000004,4.200000000000004,3.9920159680638667,3.5785288270377746,2.196939976461354,0.9038929622798989
2026-02-02,ILMN,10:08,-0.1238543472875775,-0.1238543472875775,-0.1273885350318471,-0.13092247266551782,-0.5742065029767152,,-0.3407877660876764
2026-02-02,IREN,10:28,4.222309505106048,4.222309505106048,4.222309505106048,3.611668075618746,3.611668075618746,2.594339622641506,-2.5115278980301636
2026-02-03,FTNT,09:44,-1.2370319908032612,-1.2370319908032612,-1.2376473530670618,-1.235956577994568,-1.2312164253386437,,0.27129096862589613
2026-02-03,WPM,10:04,-2.1947810082904806,-2.186980791467985,-2.186980791467985,-2.186980791467985,-2.1777724512933916,,0.23335871707258113
2026-02-03,DDS,10:15,2.2974375349245513,2.2974375349245513,0.7912412892671083,0.7912412892671083,0.7912412892671083,,1.0741761544600048
2026-02-03,DK,10:24,8.783068783068781,8.783068783068781,8.362614195361907,8.362614195361907,8.096740273396419,2.0516214427531487,4.304403080219281
2026-02-03,CHRD,14:44,0.371019272389983,0.371019272389983,0.046227335764559285,-0.07695070025137696,,,-0.1470702678209479
2026-02-04,AMZN,09:41,-1.2545174612702437,-1.2545174612702437,-1.2505834435570296,-1.2505834435570296,-1.252869798225098,,-0.1613105819191755
2026-02-04,IREN,09:42,-5.296895239215504,-5.296895239215504,-5.296895239215504,-5.249349622055455,-5.249349622055455,-5.249349622055455,-3.1929271211884678
2026-02-04,ADM,09:46,0.29806259314455463,0.20845741512804938,0.20845741512804938,0.20845741512804938,0.20845741512804938,-0.43274031882235553,0.33578742761869823
2026-02-04,WPM,09:52,-2.203654011640732,-2.203654011640732,-2.197412037208335,-2.185968815727646,-2.1836322139863307,,1.2087409920612413
2026-02-04,CHEF,10:18,0.8555133079847899,0.4021764845043796,0.4021764845043796,0.4021764845043796,0.47348484848483974,,-0.9407658378190686
2026-02-04,AMZN,11:12,-1.2530110436078212,-1.2530110436078212,-1.2505929245293812,-1.2505929245293812,-0.3080314526684558,,-0.555584921885884
2026-02-05,FLR,09:40,-1.776353744345105,-1.7726863835776818,-1.7726863835776818,-1.7750008473577883,-1.7750008473577883,,-0.3470914943030127
