entry,day,gap,POS,fly,straddle,ratio,WKND,half
2010-03-30,2010-03-31,1,0,60.354552780015695,98.79081015719406,0.01176470588235896,0,2010-2017
2010-06-10,2010-06-11,1,0,32.69067195917229,53.6679536679539,0.4505119453924892,0,2010-2017
2010-06-24,2010-06-25,1,0,60.913140311804014,91.96787148594382,0.07719298245613997,0,2010-2017
2010-06-29,2010-06-30,1,0,31.99914839259077,49.986107252014136,0.4851752021563373,0,2010-2017
2010-07-01,2010-07-02,1,0,35.78441612701064,56.697459584295615,0.423728813559322,0,2010-2017
2010-07-08,2010-07-09,1,0,-6.574394463667979,2.07557211282579,0.9435897435897453,0,2010-2017
2010-07-22,2010-07-23,1,0,-13.867822318526363,-11.286503551696642,1.0763358778625929,0,2010-2017
2010-07-29,2010-07-30,1,0,50.47725996631145,75.88545591559961,0.2352941176470538,0,2010-2017
2010-08-05,2010-08-06,1,0,27.568721643981903,50.98433105664931,0.47843137254901913,0,2010-2017
2010-08-12,2010-08-13,1,0,23.69172216936225,40.778341793569986,0.5691056910569129,0,2010-2017
2010-08-26,2010-08-27,1,0,-36.348408710217726,-36.563876651982326,1.3191489361702124,0,2010-2017
2010-09-02,2010-09-03,1,0,17.846067098957054,35.32338308457736,0.6232876712328744,0,2010-2017
2010-09-09,2010-09-10,1,0,16.673236105636896,36.546674801708846,0.6081871345029193,0,2010-2017
2010-09-23,2010-09-24,1,0,-83.38717120442945,-65.1542649727761,1.6106194690265425,0,2010-2017
2010-09-29,2010-09-30,1,0,-10.09399264405441,3.6918138041727464,0.9424083769633568,0,2010-2017
2010-09-30,2010-10-01,1,0,27.02828001854469,43.345323741007604,0.5384615384615347,0,2010-2017
2010-10-07,2010-10-08,1,0,38.2927992370055,51.3058875608679,0.47210300429184304,0,2010-2017
2010-10-21,2010-10-22,1,0,30.53988718775219,54.59976105137451,0.436781609195397,0,2010-2017
2010-10-28,2010-10-29,1,0,44.54416627302797,55.951265229615856,0.4272727272727262,0,2010-2017
2010-11-04,2010-11-05,1,1,15.490375802016956,30.320150659134192,0.6788990825688027,0,2010-2017
2010-11-11,2010-11-12,1,0,-85.08575689783721,-131.66023166023126,2.2222222222222188,0,2010-2017
2010-12-02,2010-12-03,1,1,52.334152334152286,85.92257415786821,0.13793103448275917,0,2010-2017
2010-12-09,2010-12-10,1,1,-1.2096774193558695,26.300578034681337,0.7083333333333405,0,2010-2017
2010-12-16,2010-12-17,1,1,24.8253376804847,41.69611307420526,0.573913043478258,0,2010-2017
2010-12-22,2010-12-23,1,1,-4.220779220778683,19.528949950932947,0.7663551401869094,0,2010-2017
2010-12-30,2010-12-31,1,0,4.257167680278264,13.700107874865457,0.8421052631578918,0,2010-2017
2011-01-06,2011-01-07,1,1,75.94759007955034,88.80597014925331,0.10909090909091322,0,2010-2017
2011-01-13,2011-01-14,1,1,-36.75889328063251,-36.24268227780746,1.3264248704663224,0,2010-2017
