label,h,n,names,abs_ret,ctl,excess,t,h1,h2,short_pnl,t_short,yrs_neg,PASS,VETO
ALL *PRIMARY CELL*,20,2450,535,1.0777215495470547,1.172955397459166,-0.21036442094417854,-1.2311170383398569,-0.09124266679016906,-0.3224790130891287,-1.357086628912134,-3.0115949162666533,10/17,False,False
PRIMARY-ISSUER,20,2083,443,1.016339833441645,1.1769826152721907,-0.37040242512245375,-1.9539548454192914,-0.2340491582810519,-0.49739811482768104,-1.2957049128067242,-2.426867517521088,7/17,False,False
SECONDARY,20,367,160,1.4261087829191756,1.1500979187002274,0.36394577846580284,0.8539399016273519,-0.14070689087962193,0.7895564634559203,-1.705473862284255,-2.589236032506419,6/17,False,False
ALL,60,2446,533,3.6062742357146598,4.062525686404929,-0.6708263908597742,-1.8547257833880129,-0.5828847577524643,-0.7535949867254776,-4.044369473809897,-4.6778614659973785,12/17,False,False
PRIMARY-ISSUER,60,2081,442,3.392519674526448,3.937766285070455,-0.6752311564993323,-1.5571420030631011,-0.647554043599203,-0.7010088596906292,-3.830614912621685,-4.125614119951785,12/17,False,False
SECONDARY,60,365,159,4.824968048954852,4.773825177300931,0.22302475534297284,0.25098899265422325,-0.7134857264553265,1.0128528725222616,-5.263063287050089,-3.8185641469829905,9/17,False,False
