book,excess,t_nw,h1,h2,yrs_pos,wins_p95,t_wins,maxDD,turnover,mean_age_mo,share_excess_age6,CERT,vs_plain,t_vs_plain,d_h1,d_h2,d_yrs,BETTER
T20,1.2024860161101731,2.6429753020320703,0.4246302491338451,1.868073940430124,9/16,0.3316221018474449,0.8566857474617382,34.777959344474475,0.38,3.1797222222222223,0.21823010438807477,False,,,,,,
T20-B,1.3176882084149817,2.674335479132979,0.02494418398636263,2.423850621070397,12/16,0.3730679472327155,0.9105305898245448,35.62377702086476,0.1333333333333333,6.186388888888889,0.30632019896884766,False,0.1152021923048083,0.4394997498408583,-0.39968606514748267,0.5557766806402737,6/16,False
D1,0.6524962832660423,2.865038305996069,0.35918935253851264,0.9034702549194952,12/16,0.1868107856413041,0.9299012177979556,28.32661005410433,0.3118851331792509,3.971038651046085,0.3563746501739267,False,,,,,,
D1-B,0.6785017668673455,2.819114709510732,0.42864739519682177,0.8922946828328453,13/16,0.17653388961735142,0.8164472664035443,27.239073634334098,0.18159883409197913,5.3619368416921285,0.3280557195478775,False,0.026005483601303336,0.3348236841618279,0.06945804265830911,-0.011175572086650045,9/16,False
