fill,trades,per_year,days,win,meanR,t,ctrlR,edge,R_per_year,bps_per_trade,2007-2016,2017-2023,2024-2026
PAPER (touch fills),25856,1292.8,4793,33.864480198019805,-0.10870406197986197,-8.21833810366199,-0.1686504403271295,0.05994637834726753,-140.53261132756558,-1.0198111839869308,-0.14231377578242616,-0.08587740991008634,-0.08235655665489722
QUEUE-AWARE (through by 1 tick),24590,1229.5,4764,30.630337535583568,-0.20531190531329915,-18.028213369217287,-0.172022867987992,-0.033289037325307164,-252.4309875827013,-1.9978308304122971,-0.3190119509778779,-0.14070001679321104,-0.1031490529931163
