arm,sessions,mean_bps,ann_own,ann_window,sharpe,t,h1_bps,h2_bps,t_h1,t_h2,gross_bps,traded_pct
A all sessions,3680,1.6470217391308644,4.150494782609778,4.150494782609778,0.5096719309092962,1.9476654278386378,-0.5256126718463856,3.4580916791233602,-0.5313903327783083,2.635708840041746,3.33506521739172,59.70108695652174
N negative GEX,1936,4.155568181818538,10.472031818182716,5.509199347826559,1.0543648613977383,2.9224247007827158,1.210086848635641,6.256504424779082,0.7144749118359568,2.959548344734766,6.019204545454889,65.599173553719
P positive GEX,1744,-1.1376949541279295,-2.866991284402382,-1.3587045652167813,-0.5226471940152145,-1.3749331815431205,-2.139192618222987,-0.1476168757124048,-1.9862669957050074,-0.1176883388483241,0.35542431192710167,53.153669724770644
