pb,wait,arm,n,arm_best,meanR,win,t,ctrl,edge
1.0,5,A pullback-low,41679,ema20,0.042500828185867916,32.020921807145086,1.8772611518985984,0.022414543666689723,0.020086284519178193
1.0,5,B reclaim,10949,ema20,0.07139440107089866,32.16732121654945,2.6800344141466086,0.028161391705200118,0.043233009365698544
1.0,5,C dip-matched,10982,stop_hold,1.9110746576351691,66.91859406301221,29.558297673382956,0.23009032945237518,1.6809843281827939
1.0,10,A pullback-low,49909,trail_bar,0.03275425654294219,39.109178705243544,1.5104876508218417,0.022598615665018258,0.010155640877923929
1.0,10,B reclaim,20924,ema20,0.04750067178532644,31.41368763142803,1.9312156105619864,0.05149057589487694,-0.003989904109550503
1.0,10,C dip-matched,21257,stop_hold,1.6550075667754727,63.78604694924025,32.5026704208965,0.34784698198769964,1.307160584787773
1.0,20,A pullback-low,57121,trail_bar,0.03920832187070495,39.14847429141647,1.6889114804975234,0.015241105817322985,0.023967216053381965
1.0,20,B reclaim,31200,ema20,0.05084968752321887,31.227564102564102,1.8401133545248927,0.043239656889755076,0.007610030633463792
1.0,20,C dip-matched,32723,stop_hold,1.2734186079201253,57.36637838828958,27.47727594914839,0.5379526753458681,0.7354659325742572
1.5,5,A pullback-low,26484,trail_bar,0.06976023814178159,39.46533756230177,2.0378640670636647,0.02658770006881343,0.043172538072968156
1.5,5,B reclaim,4424,ema20,0.17802071726447422,34.403254972875224,2.6902147899728837,0.07051608300122883,0.10750463426324539
1.5,5,C dip-matched,4357,stop_hold,2.6664170640633715,75.41886619233418,29.361550369421828,0.3705966497761432,2.2958204142872285
1.5,10,A pullback-low,35860,trail_bar,0.05871615868319783,39.09927495817067,1.766186859457997,0.021930984756641764,0.036785173926556065
1.5,10,B reclaim,11230,ema20,0.0959825338017876,32.28851291184328,2.049430468196343,0.04158993432562292,0.054392599476164684
1.5,10,C dip-matched,11106,stop_hold,2.299761344877483,71.54691157932649,34.20981246963165,0.47164184332330134,1.8281195015541818
1.5,20,A pullback-low,44528,trail_bar,0.06409480302587979,39.10348544735896,1.9423645432717174,0.02446385488049435,0.03963094814538544
1.5,20,B reclaim,20411,ema20,0.0820249286230211,32.0317475870854,2.4649848212495074,0.04639728961203536,0.03562763901098574
1.5,20,C dip-matched,20870,stop_hold,1.8015567488134332,64.70531863919501,31.878981973321313,0.7264325842918207,1.0751241645216125
