date,exit_date,sym,dec_entry,dec_exit,base,exit_gain,entry_gain
2019-10-23,2019-10-30,SEDG,10.0,10.0,-7.300546781612871,0.7541010288592896,-0.6775986301442964
2019-10-24,2019-10-30,SEDG,10.0,10.0,-9.283422786284257,0.7379705255681818,0.6631045417989639
2019-10-24,2019-11-18,THO,2.0,2.0,-0.9847429950336606,0.276940765737785,0.4462149892092006
2019-11-12,2019-12-11,DXCM,10.0,10.0,3.01736743917711,-0.2377051977369263,0.9314049551907234
2019-11-15,2019-12-02,ROKU,10.0,9.0,-13.496500518536902,1.2650923050015555,0.0
2019-11-18,2019-12-02,ROKU,10.0,9.0,-15.019977845594623,1.2428118255428249,4.165624764142493
2019-11-19,2019-11-20,ARWR,9.0,9.0,-4.257428764116645,1.0891149539758664,0.9900990099009901
2019-11-19,2019-12-02,OKTA,9.0,10.0,-3.275701794759367,-2.7680820217992035,0.06345322802413086
2019-11-26,2019-12-30,ALNY,8.0,8.0,-3.670414250627607,-0.579541790320191,0.05039270941041555
2019-11-26,2019-12-02,TTD,10.0,10.0,-13.638433777731807,-2.407902696678033,-0.07596072093287241
2019-11-27,2019-12-02,ARWR,10.0,10.0,-8.243980134390982,-1.926980434283021,-0.333241622892341
2019-11-29,2019-12-02,ARWR,10.0,10.0,-13.258457775571241,-1.8216707192707884,-0.43829569300261967
2019-12-05,2019-12-09,ALNY,7.0,8.0,-2.8334574397034906,-0.4829738854608236,-0.0885397874787164
2019-12-12,2019-12-13,CVNA,6.0,6.0,-5.268038037251699,0.6288646546366712,0.43298781155041194
2019-12-13,2020-02-24,SHOP,5.0,10.0,27.33356247043033,2.344579057542103,-1.0815152254477522
2019-12-16,2020-02-24,SHOP,5.0,10.0,24.726270775966206,2.2965712787197394,0.1600480832315932
2020-01-02,2020-01-27,SEDG,10.0,10.0,-5.461150861332509,2.956489744043212,0.9527563539571537
2020-01-07,2020-01-27,TTD,10.0,10.0,-2.5153415398049828,0.6350774127130081,0.0
2020-01-08,2020-01-13,APA,7.0,7.0,-2.1998191151074598,0.39719643593567416,0.3666254147922508
2020-01-30,2020-02-21,MDB,10.0,10.0,-1.5110785940223193,-6.802842912204225,-0.9197925176428902
2020-02-04,2020-03-12,TDOC,9.0,10.0,10.872609761993512,6.308907522696825,-1.6705561269591043
2020-02-06,2020-03-09,ENPH,10.0,10.0,12.99818118729199,9.846311121109634,1.0158879808515906
2020-02-10,2020-02-24,ALNY,7.0,6.0,-7.003801585150304,0.7072245666735979,0.7908694191124049
2020-02-10,2020-02-25,TNDM,10.0,10.0,-1.8635051141536851,-0.2770098536581804,-0.47847505864220596
2020-02-12,2020-02-18,ALNY,6.0,6.0,-3.9629917155677097,0.11195548109824557,0.0074705315431237
2020-02-12,2020-02-25,TNDM,10.0,10.0,-3.837138177978283,-0.2714388802214285,0.3207922596430178
2020-02-13,2020-02-25,TNDM,10.0,10.0,-6.11900073123458,-0.26499786750051485,-3.999036170885579
