day,w,gex,credit,maxrisk,width_c,width_p,straddle_mid,pnl_usd,ret_risk,ret_credit,NEG,half,yr
2010-03-31,1.0,-663053334.8183292,0.6114999999999998,0.3885000000000002,1.0,1.0,0.85,60.14999999999947,154.82625482625338,98.36467702371135,True,2010-2017,2010
2010-03-31,2.0,-663053334.8183292,0.7589999999999999,1.241,2.0,2.0,0.85,74.89999999999948,60.354552780015695,98.68247694334583,True,2010-2017,2010
2010-06-11,1.0,-1794116427.8063357,0.7014999999999998,0.2985000000000002,1.0,1.0,1.4649999999999999,4.15000000000032,13.90284757119034,5.915894511760971,True,2010-2017,2010
2010-06-11,2.0,-1794116427.8063357,1.2365,1.7635,3.0,3.0,1.4649999999999999,57.65000000000033,32.69067195917229,46.623534169025746,True,2010-2017,2010
2010-06-25,1.0,-1878383335.412411,0.6989999999999998,0.30100000000000016,1.0,1.0,1.4249999999999998,58.90000000000004,195.6810631229236,84.26323319027189,True,2010-2017,2010
2010-06-25,2.0,-1878383335.412411,1.2039999999999997,1.7960000000000003,3.0,3.0,1.4249999999999998,109.40000000000003,60.913140311804014,90.86378737541533,True,2010-2017,2010
2010-06-30,1.0,-2207533786.2166944,1.2365,0.7635000000000001,2.0,2.0,1.855,33.64999999999942,44.073346430909524,27.213910230488818,True,2010-2017,2010
2010-06-30,2.0,-2207533786.2166944,1.6515,2.3485,4.0,4.0,1.855,75.14999999999942,31.99914839259077,45.504087193460144,True,2010-2017,2010
2010-07-02,1.0,-2020659032.8989937,1.2089999999999999,0.7910000000000001,2.0,2.0,1.77,45.899999999999984,58.02781289506951,37.9652605459057,True,2010-2017,2010
2010-07-02,2.0,-2020659032.8989937,1.6064999999999998,2.3935000000000004,4.0,4.0,1.77,85.64999999999998,35.78441612701064,53.31465919701214,True,2010-2017,2010
2010-07-09,1.0,-1723178673.5960717,0.6639999999999999,0.3360000000000001,1.0,1.0,0.975,-25.60000000000018,-76.1904761904767,-38.55421686747015,True,2010-2017,2010
2010-07-09,2.0,-1723178673.5960717,0.8439999999999999,1.1560000000000001,2.0,2.0,0.975,-7.600000000000184,-6.574394463667979,-9.00473933649311,True,2010-2017,2010
2010-07-23,1.0,-889991571.3996803,0.6840000000000002,0.31599999999999984,1.0,1.0,1.31,-31.599999999999984,-100.0,-46.19883040935669,True,2010-2017,2010
2010-07-23,2.0,-889991571.3996803,1.154,1.846,3.0,3.0,1.31,-25.599999999999667,-13.867822318526363,-22.183708838821204,True,2010-2017,2010
2010-07-30,1.0,-1144621729.4448068,0.7165000000000001,0.28349999999999986,1.0,1.0,1.36,39.650000000000695,139.85890652557572,55.33845080251317,True,2010-2017,2010
2010-07-30,2.0,-1144621729.4448068,1.219,1.781,3.0,3.0,1.36,89.90000000000069,50.47725996631145,73.74897456931969,True,2010-2017,2010
2010-08-06,1.0,-651412845.1232004,0.6590000000000001,0.34099999999999986,1.0,1.0,1.2750000000000001,4.900000000000071,14.369501466275874,7.435508345978861,True,2010-2017,2010
