trade_date,expiry,year,short_delta,settle,sp,sc,put_cr,call_cr,net_cr,put_w,call_w,pnl_A,max_loss_A,win_A,pnl_B,win_B,roc_A
2016-01-07,2016-01-08,2016,0.1,1922.030029296875,1905.0,1990.0,1.6,1.4000000000000001,3.0,50.0,50.0,2.7,47.0,True,2.7,True,0.057446808510638304
2016-01-07,2016-01-08,2016,0.12,1922.030029296875,1905.0,1985.0,1.6,1.9500000000000002,3.5500000000000003,50.0,50.0,3.2500000000000004,46.45,True,3.2500000000000004,True,0.06996770721205597
2016-01-07,2016-01-08,2016,0.15,1922.030029296875,1915.0,1985.0,2.65,1.9500000000000002,4.6,50.0,50.0,4.3,45.4,True,4.3,True,0.0947136563876652
2016-01-07,2016-01-08,2016,0.2,1922.030029296875,1920.0,1975.0,3.3,3.8000000000000003,7.1,50.0,50.0,6.8,42.9,True,6.8,True,0.1585081585081585
2016-01-14,2016-01-15,2016,0.1,1880.3299560546875,1885.0,1945.0,0.3999999999999999,0.725,1.125,50.0,50.0,-3.8450439453125,48.875,False,0.02500000000000019,True,-0.07867097586317136
2016-01-14,2016-01-15,2016,0.12,1880.3299560546875,1895.0,1940.0,1.5,0.925,2.425,50.0,50.0,-12.5450439453125,47.575,False,-0.8750000000000002,False,-0.26368983594981604
2016-01-14,2016-01-15,2016,0.15,1880.3299560546875,1900.0,1940.0,1.6,0.925,2.5250000000000004,50.0,50.0,-17.445043945312502,47.475,False,-0.9749999999999999,False,-0.3674574817338073
2016-01-14,2016-01-15,2016,0.2,1880.3299560546875,1905.0,1935.0,2.175,2.5999999999999996,4.7749999999999995,50.0,50.0,-20.195043945312502,45.225,False,0.12499999999999983,True,-0.4465460242191819
2016-01-21,2016-01-22,2016,0.1,1906.9000244140625,1825.0,1910.0,1.675,1.425,3.1,50.0,50.0,2.8000000000000003,46.9,True,2.8000000000000003,True,0.05970149253731344
2016-01-21,2016-01-22,2016,0.12,1906.9000244140625,1830.0,1910.0,2.15,1.425,3.575,50.0,50.0,3.2750000000000004,46.425,True,3.2750000000000004,True,0.07054388799138396
