cap,arm,meanR,medR,win,t_arm,diff,t_diff,diff_h1,diff_h2,giveback,p95,held
none,BASE,0.6279692450484878,-1.0802505320875477,30.284552845528456,3.931041250867958,0.0,,0.0,0.0,38.81987577639752,8.78509628064706,9.0
none,BE_1R,0.5446076064538187,-1.025731606973615,26.676829268292686,3.6070917874874446,-0.08336163859466912,-2.003303472713644,-0.12854000163344206,-0.054385690990985745,46.16977225672878,8.068719475426848,7.0
none,BE_2R,0.6380537660964203,-1.0628896583050778,29.67479674796748,4.009758815407749,0.010084521047932409,1.3405865834483657,0.0047511643126220224,0.013505164358569343,40.06211180124224,8.767575492490051,9.0
none,LOCK_2R_1R,0.5331232910626066,-1.0556057842727353,34.29878048780488,3.620174082167703,-0.09484595398588115,-1.5561817985171729,-0.011855859618122985,-0.14807312877220813,30.641821946169774,7.9435328342695115,8.0
none,BE_EXT2,0.44188829788131895,-0.4873967953230576,20.223577235772357,2.998092627326648,-0.18608094716716891,-2.820249223710666,-0.09841620659382741,-0.24230628953655978,59.006211180124225,6.086527299314887,4.0
none,EMA10_EXT2,0.15826018042732345,-0.9044954118389533,33.13008130081301,1.5860844873496007,-0.46970906462116435,-4.80809121889224,-0.25328191088522806,-0.6085184734809934,33.74741200828157,5.927010905146933,7.0
none,TRIM_2R,0.36582315693251166,-1.0473925510074686,37.34756097560975,3.7213085564938435,-0.2621460881159762,-3.7514304291680016,-0.06014302733118628,-0.39170434811889815,24.43064182194617,5.942871182602103,9.0
none,TRIM_EXT2,0.30131904298339796,-0.4913195177820074,36.6869918699187,3.4983037792580234,-0.32665020206508993,-4.217876157710334,-0.07246968596935034,-0.48967340212983024,27.12215320910973,4.935359967864594,9.0
none,TRIM_EXT3,0.37917081317301193,-0.8551853705093587,34.45121951219512,3.5668361795787455,-0.2487984318754759,-3.8106425709335947,-0.0515014033169794,-0.3753383943120762,30.74534161490683,6.622493761392731,9.0
20,BASE,0.3929215420623016,-1.0802505320875477,30.284552845528456,3.292273648180197,0.0,,0.0,0.0,38.81987577639752,8.78509628064706,9.0
20,BE_1R,0.3095599034676325,-1.025731606973615,26.676829268292686,2.8486290952586715,-0.08336163859466912,-2.003303472713644,-0.12854000163344206,-0.054385690990985745,46.16977225672878,8.068719475426848,7.0
20,BE_2R,0.40300606311023407,-1.0628896583050778,29.67479674796748,3.405593568102398,0.010084521047932409,1.3405865834483657,0.0047511643126220224,0.013505164358569343,40.06211180124224,8.767575492490051,9.0
20,LOCK_2R_1R,0.3273874263999469,-1.0556057842727353,34.29878048780488,2.936918175612671,-0.06553411566235476,-1.5720185028840228,-0.011855859618122985,-0.0999616209984801,30.641821946169774,7.9435328342695115,8.0
20,BE_EXT2,0.2269170356583816,-0.4873967953230576,20.223577235772357,2.1110858202588347,-0.16600450640392003,-2.808734564029498,-0.09841620659382741,-0.2093534659985499,59.006211180124225,6.086527299314887,4.0
20,EMA10_EXT2,0.1291128272189773,-0.9044954118389533,33.13008130081301,1.3710225446777569,-0.2638087148433243,-4.255099703333022,-0.25181291541281686,-0.2715024344113478,33.74741200828157,5.927010905146933,7.0
20,TRIM_2R,0.31901904740953596,-1.0473925510074686,37.34756097560975,3.5372407477278025,-0.0739024946527657,-1.2981354956639612,-0.04899097273859388,-0.08987994281956978,24.43064182194617,5.942871182602103,9.0
20,TRIM_EXT2,0.2609869937144256,-0.4913195177820074,36.6869918699187,3.3284708355761445,-0.13193454834787602,-2.3543709004819924,-0.06131763137675794,-0.17722596548781747,27.12215320910973,4.935359967864594,9.0
20,TRIM_EXT3,0.3263322295728352,-0.8551853705093587,34.45121951219512,3.3614881132189622,-0.06658931248946642,-1.6084958546661865,-0.040349348724387,-0.08341878049225712,30.74534161490683,6.622493761392731,9.0
10,BASE,0.14840083383799352,-1.0802505320875477,30.284552845528456,1.5073104919456592,0.0,,0.0,0.0,38.81987577639752,8.78509628064706,9.0
10,BE_1R,0.08540186369506451,-1.025731606973615,26.676829268292686,1.0200999286427894,-0.062998970142929,-1.7093625736532507,-0.10429032306565073,-0.03651602569124176,46.16977225672878,8.068719475426848,7.0
10,BE_2R,0.1589421705123507,-1.0628896583050778,29.67479674796748,1.6562400629352398,0.010541336674357195,1.3726185460578222,0.0047511643126220224,0.014254966821291593,40.06211180124224,8.767575492490051,9.0
10,LOCK_2R_1R,0.12029613853247172,-1.0556057842727353,34.29878048780488,1.2940595672916455,-0.02810469530552178,-0.9206177559148291,-0.009060829332350851,-0.040318817852117654,30.641821946169774,7.9435328342695115,8.0
10,BE_EXT2,0.035571040244326266,-0.4873967953230576,20.223577235772357,0.19783679350916977,-0.11282979359366725,-2.3418295377766403,-0.08386784777150742,-0.13140505325775478,59.006211180124225,6.086527299314887,4.0
10,EMA10_EXT2,0.04837416278292834,-0.9044954118389533,33.13008130081301,0.6456654545350654,-0.10002667105506519,-1.9592792997646853,-0.16642795942660787,-0.057439022383074925,33.74741200828157,5.927010905146933,7.0
10,TRIM_2R,0.2210579238375118,-1.0473925510074686,37.34756097560975,2.762206728743482,0.07265708999951828,3.403336382716201,0.042788466315043835,0.09181386365536558,24.43064182194617,5.942871182602103,9.0
10,TRIM_EXT2,0.17569753695661972,-0.4913195177820074,36.6869918699187,2.6049050757323093,0.027296703118626184,1.314795173361288,0.03683439966258623,0.02117953160711219,27.12215320910973,4.935359967864594,9.0
10,TRIM_EXT3,0.20472687843912238,-0.8551853705093587,34.45121951219512,2.420777686264243,0.05632604460112886,2.600816815658684,0.034332726472907124,0.07043185080680235,30.74534161490683,6.622493761392731,9.0
